# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.058108,-0.000499,7.621,7.679
0.14421,-4.996969,7.621,7.679
0.34686,-9.993441,7.621,7.679
0.549812,-14.989914,7.621,7.679
0.75304,-19.986389,7.621,7.679
0.956516,-24.982865,7.621,7.679
1.160212,-29.979341,7.622,7.678
1.3641,-34.975818,7.622,7.678
1.568152,-39.972293,7.622,7.678
1.772342,-44.968768,7.622,7.678
1.97664,-49.965241,7.622,7.678
2.18102,-54.961712,7.622,7.678
2.385454,-59.95818,7.622,7.678
2.589914,-64.954646,7.622,7.678
2.794372,-69.951108,7.622,7.678
2.998802,-74.947566,7.622,7.678
3.203174,-79.94402,7.622,7.678
3.40746,-84.940469,7.623,7.677
3.611636,-89.936913,7.623,7.677
3.81567,-94.93335,7.623,7.677
4.019536,-99.929782,7.623,7.677
4.223206,-104.926207,7.623,7.677
4.426652,-109.922624,7.623,7.677
4.629848,-114.919034,7.623,7.677
4.832766,-119.915436,7.623,7.677
5.035376,-124.911828,7.623,7.677
5.237652,-129.908212,7.623,7.677
5.439566,-134.904586,7.624,7.676
5.64109,-139.90095,7.624,7.676
5.842198,-144.897304,7.624,7.676
6.04286,-149.893646,7.624,7.676
6.243048,-154.889977,7.624,7.676
6.442736,-159.886296,7.624,7.676
6.641896,-164.882602,7.624,7.676
6.8405,-169.878896,7.624,7.676
7.03852,-174.875176,7.624,7.676
7.235928,-179.871442,7.624,7.676
7.432698,-184.867693,7.624,7.676
7.6288,-189.86393,7.625,7.675
7.824208,-194.860152,7.625,7.675
8.018894,-199.856357,7.625,7.675
8.212828,-204.852546,7.625,7.675
8.405986,-209.848719,7.625,7.675
8.598338,-214.844874,7.637,7.663
8.789858,-219.841012,7.650,7.650
8.980514,-224.837131,7.663,7.637
9.170284,-229.833232,7.676,7.624
9.359136,-234.829313,7.689,7.611
9.547046,-239.825375,7.701,7.599
9.733982,-244.821417,7.714,7.586
9.91992,-249.817438,7.727,7.573
10.10515,-254.813432,7.740,7.560
10.295058,-259.80928,7.753,7.547
10.499078,-264.804781,7.766,7.534
10.726766,-269.799727,7.754,7.546
10.987674,-274.793913,7.740,7.560
11.291354,-279.787133,7.725,7.575
11.647358,-284.779181,7.685,7.615
12.065238,-289.76985,7.630,7.670
12.55455,-294.758934,7.627,7.673
13.124842,-299.746228,7.661,7.639
13.78567,-304.731526,7.695,7.605
14.546584,-309.71462,7.729,7.571
15.417138,-314.695306,7.763,7.537
16.40675,-319.673189,7.797,7.503
17.523784,-324.646401,7.810,7.490
18.776112,-329.612385,7.817,7.483
20.171604,-334.568577,7.825,7.475
21.718128,-339.512413,7.833,7.467
23.42355,-344.441332,7.839,7.461
25.29574,-349.352769,7.841,7.459
27.342566,-354.244163,7.844,7.456
29.571898,-359.11295,7.846,7.454
31.991602,-363.956566,7.848,7.452
34.609546,-368.77245,7.850,7.450
37.4336,-373.558037,7.843,7.457
40.471568,-378.310756,7.821,7.479
43.72846,-383.0276,7.798,7.502
47.205462,-387.704971,7.776,7.524
50.90349,-392.339228,7.810,7.490
54.823454,-396.926731,7.913,7.387
58.966266,-401.463838,8.015,7.285
63.332838,-405.946909,8.094,7.206
67.921836,-410.373229,7.951,7.349
72.72238,-414.744014,7.809,7.491
77.721044,-419.061526,7.666,7.634
82.904412,-423.32803,7.548,7.752
88.25906,-427.545786,7.611,7.689
93.77157,-431.717059,7.673,7.627
99.428914,-435.843959,7.736,7.564
105.22447,-439.92615,7.799,7.501
111.156846,-443.961295,7.838,7.462
117.224804,-447.947,7.866,7.434
123.427104,-451.880869,7.894,7.406
129.762504,-455.76051,7.921,7.379
136.229768,-459.583526,7.951,7.349
142.827654,-463.347524,7.982,7.318
149.554924,-467.050108,8.013,7.287
156.410336,-470.688885,8.045,7.255
163.392652,-474.261459,8.076,7.224
170.500634,-477.765437,8.107,7.193
177.733038,-481.198425,8.138,7.162
185.088442,-484.558721,8.170,7.130
192.564982,-487.846267,8.179,7.121
200.160736,-491.061248,8.159,7.141
207.873772,-494.203849,8.138,7.162
215.702166,-497.274255,8.118,7.182
223.64399,-500.272648,8.098,7.202
231.697318,-503.199214,8.077,7.223
239.860224,-506.054138,8.057,7.243
248.13078,-508.837604,8.038,7.262
256.507058,-511.549796,8.028,7.272
264.987136,-514.190898,8.018,7.282
273.569082,-516.761096,8.008,7.292
282.25096,-519.260528,7.998,7.302
291.030196,-521.687259,7.876,7.424
299.903342,-524.036466,7.731,7.569
308.866888,-526.303111,7.585,7.715
317.917318,-528.482155,7.439,7.861
327.05112,-530.568562,7.396,7.904
