# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.029054,-0.000998,7.621,7.679
0.072105,-9.993938,7.621,7.679
0.17343,-19.986882,7.621,7.679
0.274906,-29.979828,7.621,7.679
0.37652,-39.972778,7.621,7.679
0.478258,-49.96573,7.621,7.679
0.580106,-59.958682,7.622,7.678
0.68205,-69.951636,7.622,7.678
0.784076,-79.944586,7.622,7.678
0.886171,-89.937536,7.622,7.678
0.98832,-99.930482,7.622,7.678
1.09051,-109.923424,7.622,7.678
1.192727,-119.91636,7.622,7.678
1.294957,-129.909292,7.622,7.678
1.397186,-139.902216,7.622,7.678
1.499401,-149.895132,7.622,7.678
1.601587,-159.88804,7.622,7.678
1.70373,-169.880938,7.623,7.677
1.805818,-179.873826,7.623,7.677
1.907835,-189.8667,7.623,7.677
2.009768,-199.859564,7.623,7.677
2.111603,-209.852414,7.623,7.677
2.213326,-219.845248,7.623,7.677
2.314924,-229.838068,7.623,7.677
2.416383,-239.830872,7.623,7.677
2.517688,-249.823656,7.623,7.677
2.618826,-259.816424,7.623,7.677
2.719783,-269.809172,7.624,7.676
2.820545,-279.8019,7.624,7.676
2.921099,-289.794608,7.624,7.676
3.02143,-299.787292,7.624,7.676
3.121524,-309.779954,7.624,7.676
3.221368,-319.772592,7.624,7.676
3.320948,-329.765204,7.624,7.676
3.42025,-339.757792,7.624,7.676
3.51926,-349.750352,7.624,7.676
3.617964,-359.742884,7.624,7.676
3.716349,-369.735386,7.624,7.676
3.8144,-379.72786,7.625,7.675
3.912104,-389.720304,7.625,7.675
4.009447,-399.712714,7.625,7.675
4.106414,-409.705092,7.625,7.675
4.202993,-419.697438,7.625,7.675
4.299169,-429.689748,7.637,7.663
4.394929,-439.682024,7.650,7.650
4.490257,-449.674262,7.663,7.637
4.585142,-459.666464,7.676,7.624
4.679568,-469.658626,7.689,7.611
4.773523,-479.65075,7.701,7.599
4.866991,-489.642834,7.714,7.586
4.95996,-499.634876,7.727,7.573
5.052575,-509.626864,7.740,7.560
5.147529,-519.61856,7.753,7.547
5.249539,-529.609562,7.766,7.534
5.363383,-539.599454,7.754,7.546
5.493837,-549.587826,7.740,7.560
5.645677,-559.574266,7.725,7.575
5.823679,-569.558362,7.685,7.615
6.032619,-579.5397,7.630,7.670
6.277275,-589.517868,7.627,7.673
6.562421,-599.492456,7.661,7.639
6.892835,-609.463052,7.695,7.605
7.273292,-619.42924,7.729,7.571
7.708569,-629.390612,7.763,7.537
8.203375,-639.346378,7.797,7.503
8.761892,-649.292802,7.810,7.490
9.388056,-659.22477,7.817,7.483
10.085802,-669.137154,7.825,7.475
10.859064,-679.024826,7.833,7.467
11.711775,-688.882664,7.839,7.461
12.64787,-698.705538,7.841,7.459
13.671283,-708.488326,7.844,7.456
14.785949,-718.2259,7.846,7.454
15.995801,-727.913132,7.848,7.452
17.304773,-737.5449,7.850,7.450
18.7168,-747.116074,7.843,7.457
20.235784,-756.621512,7.821,7.479
21.86423,-766.0552,7.798,7.502
23.602731,-775.409942,7.776,7.524
25.451745,-784.678456,7.810,7.490
27.411727,-793.853462,7.913,7.387
29.483133,-802.927676,8.015,7.285
31.666419,-811.893818,8.094,7.206
33.960918,-820.746458,7.951,7.349
36.36119,-829.488028,7.809,7.491
38.860522,-838.123052,7.666,7.634
41.452206,-846.65606,7.548,7.752
44.12953,-855.091572,7.611,7.689
46.885785,-863.434118,7.673,7.627
49.714457,-871.687918,7.736,7.564
52.612235,-879.8523,7.799,7.501
55.578423,-887.92259,7.838,7.462
58.612402,-895.894,7.866,7.434
61.713552,-903.761738,7.894,7.406
64.881252,-911.52102,7.921,7.379
68.114884,-919.167052,7.951,7.349
71.413827,-926.695048,7.982,7.318
74.777462,-934.100216,8.013,7.287
78.205168,-941.37777,8.045,7.255
81.696326,-948.522918,8.076,7.224
85.250317,-955.530874,8.107,7.193
88.866519,-962.39685,8.138,7.162
92.544221,-969.117442,8.170,7.130
96.282491,-975.692534,8.179,7.121
100.080368,-982.122496,8.159,7.141
103.936886,-988.407698,8.138,7.162
107.851083,-994.54851,8.118,7.182
111.821995,-1000.545296,8.098,7.202
115.848659,-1006.398428,8.077,7.223
119.930112,-1012.108276,8.057,7.243
124.06539,-1017.675208,8.038,7.262
128.253529,-1023.099592,8.028,7.272
132.493568,-1028.381796,8.018,7.282
136.784541,-1033.522192,8.008,7.292
141.12548,-1038.521056,7.998,7.302
145.515098,-1043.374518,7.876,7.424
149.951671,-1048.072932,7.731,7.569
154.433444,-1052.606222,7.585,7.715
158.958659,-1056.96431,7.439,7.861
163.52556,-1061.137124,7.396,7.904
168.13239,-1065.114586,7.475,7.825
172.777392,-1068.88662,7.555,7.745
177.458811,-1072.443152,7.635,7.665
182.17489,-1075.774106,7.704,7.596
186.923871,-1078.869408,7.739,7.561
191.703999,-1081.718978,7.774,7.526
196.513517,-1084.312746,7.809,7.491
201.350607,-1086.64431,7.844,7.456
206.213183,-1088.723314,7.882,7.418
211.09909,-1090.563776,7.919,7.381
216.006168,-1092.17971,7.956,7.344
220.93226,-1093.585136,7.993,7.307
225.875208,-1094.794068,8.054,7.246
230.832854,-1095.820522,8.118,7.182
235.803042,-1096.678516,8.182,7.118
240.783612,-1097.382066,8.246,7.054
245.772408,-1097.945188,8.243,7.057
250.767272,-1098.3819,8.107,7.193
255.766045,-1098.706216,7.971,7.329
260.766572,-1098.93215,7.835,7.465
265.767251,-1099.072134,7.699,7.601
270.767831,-1099.134762,7.563,7.737
275.76826,-1099.128044,7.427,7.873
280.76849,-1099.059998,7.363,7.937
285.76847,-1098.938636,7.389,7.911
290.768152,-1098.771976,7.415,7.885
295.767485,-1098.56803,7.441,7.859
300.766419,-1098.334814,7.467,7.833
305.764905,-1098.080344,7.493,7.807
310.762893,-1097.812632,7.519,7.781
315.760333,-1097.539696,7.544,7.756
320.757176,-1097.269546,7.565,7.735
325.753381,-1097.009552,7.586,7.714
330.748985,-1096.761708,7.607,7.693
335.744065,-1096.525352,7.627,7.673
340.738696,-1096.299806,7.648,7.652
345.732955,-1096.084396,7.669,7.631
350.726918,-1095.878444,7.690,7.610
355.720661,-1095.68127,7.711,7.589
360.71426,-1095.492198,7.732,7.568
365.707791,-1095.31055,7.753,7.547
370.701331,-1095.135648,7.774,7.526
375.694955,-1094.966814,7.795,7.505
