# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.014527,-0.000499,7.621,7.679
0.0360525,-4.996969,7.621,7.679
0.086715,-9.993441,7.621,7.679
0.137453,-14.989914,7.621,7.679
0.18826,-19.986389,7.621,7.679
0.239129,-24.982865,7.621,7.679
0.290053,-29.979341,7.622,7.678
0.341025,-34.975818,7.622,7.678
0.392038,-39.972293,7.622,7.678
0.4430855,-44.968768,7.622,7.678
0.49416,-49.965241,7.622,7.678
0.545255,-54.961712,7.622,7.678
0.5963635,-59.958180,7.622,7.678
0.6474785,-64.954646,7.622,7.678
0.698593,-69.951108,7.622,7.678
0.7497005,-74.947566,7.622,7.678
0.8007935,-79.944020,7.622,7.678
0.851865,-84.940469,7.623,7.677
0.902909,-89.936913,7.623,7.677
0.9539175,-94.933350,7.623,7.677
1.004884,-99.929782,7.623,7.677
1.0558015,-104.926207,7.623,7.677
1.106663,-109.922624,7.623,7.677
1.157462,-114.919034,7.623,7.677
1.2081915,-119.915436,7.623,7.677
1.258844,-124.911828,7.623,7.677
1.309413,-129.908212,7.623,7.677
1.3598915,-134.904586,7.624,7.676
1.4102725,-139.900950,7.624,7.676
1.4605495,-144.897304,7.624,7.676
1.510715,-149.893646,7.624,7.676
1.560762,-154.889977,7.624,7.676
1.610684,-159.886296,7.624,7.676
1.660474,-164.882602,7.624,7.676
1.710125,-169.878896,7.624,7.676
1.75963,-174.875176,7.624,7.676
1.808982,-179.871442,7.624,7.676
1.8581745,-184.867693,7.624,7.676
1.9072,-189.863930,7.625,7.675
1.956052,-194.860152,7.625,7.675
2.0047235,-199.856357,7.625,7.675
2.053207,-204.852546,7.625,7.675
2.1014965,-209.848719,7.625,7.675
2.1495845,-214.844874,7.637,7.663
2.1974645,-219.841012,7.650,7.650
2.2451285,-224.837131,7.663,7.637
2.292571,-229.833232,7.676,7.624
2.339784,-234.829313,7.689,7.611
2.3867615,-239.825375,7.701,7.599
2.4334955,-244.821417,7.714,7.586
2.47998,-249.817438,7.727,7.573
2.5262875,-254.813432,7.740,7.560
2.5737645,-259.809280,7.753,7.547
2.6247695,-264.804781,7.766,7.534
2.6816915,-269.799727,7.754,7.546
2.7469185,-274.793913,7.740,7.560
2.8228385,-279.787133,7.725,7.575
2.9118395,-284.779181,7.685,7.615
3.0163095,-289.769850,7.630,7.670
3.1386375,-294.758934,7.627,7.673
3.2812105,-299.746228,7.661,7.639
3.4464175,-304.731526,7.695,7.605
3.636646,-309.714620,7.729,7.571
3.8542845,-314.695306,7.763,7.537
4.1016875,-319.673189,7.797,7.503
4.380946,-324.646401,7.810,7.490
4.694028,-329.612385,7.817,7.483
5.042901,-334.568577,7.825,7.475
5.429532,-339.512413,7.833,7.467
5.8558875,-344.441332,7.839,7.461
6.323935,-349.352769,7.841,7.459
6.8356415,-354.244163,7.844,7.456
7.3929745,-359.112950,7.846,7.454
7.9979005,-363.956566,7.848,7.452
8.6523865,-368.772450,7.850,7.450
9.3584,-373.558037,7.843,7.457
10.117892,-378.310756,7.821,7.479
10.932115,-383.027600,7.798,7.502
11.8013655,-387.704971,7.776,7.524
12.7258725,-392.339228,7.810,7.490
13.7058635,-396.926731,7.913,7.387
14.7415665,-401.463838,8.015,7.285
15.8332095,-405.946909,8.094,7.206
16.980459,-410.373229,7.951,7.349
18.180595,-414.744014,7.809,7.491
19.430261,-419.061526,7.666,7.634
20.726103,-423.328030,7.548,7.752
22.064765,-427.545786,7.611,7.689
23.4428925,-431.717059,7.673,7.627
24.8572285,-435.843959,7.736,7.564
26.3061175,-439.926150,7.799,7.501
27.7892115,-443.961295,7.838,7.462
29.306201,-447.947000,7.866,7.434
30.856776,-451.880869,7.894,7.406
32.440626,-455.760510,7.921,7.379
34.057442,-459.583526,7.951,7.349
35.7069135,-463.347524,7.982,7.318
37.388731,-467.050108,8.013,7.287
39.102584,-470.688885,8.045,7.255
40.848163,-474.261459,8.076,7.224
42.6251585,-477.765437,8.107,7.193
44.4332595,-481.198425,8.138,7.162
46.2721105,-484.558721,8.170,7.130
48.1412455,-487.846267,8.179,7.121
50.040184,-491.061248,8.159,7.141
