# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.029054,-0.0002495,7.621,7.679
0.072105,-2.4984845,7.621,7.679
0.17343,-4.9967205,7.621,7.679
0.274906,-7.494957,7.621,7.679
0.37652,-9.9931945,7.621,7.679
0.478258,-12.4914325,7.621,7.679
0.580106,-14.9896705,7.622,7.678
0.68205,-17.487909,7.622,7.678
0.784076,-19.9861465,7.622,7.678
0.886171,-22.484384,7.622,7.678
0.98832,-24.9826205,7.622,7.678
1.09051,-27.480856,7.622,7.678
1.192727,-29.97909,7.622,7.678
1.294957,-32.477323,7.622,7.678
1.397186,-34.975554,7.622,7.678
1.499401,-37.473783,7.622,7.678
1.601587,-39.97201,7.622,7.678
1.70373,-42.4702345,7.623,7.677
1.805818,-44.9684565,7.623,7.677
1.907835,-47.466675,7.623,7.677
2.009768,-49.964891,7.623,7.677
2.111603,-52.4631035,7.623,7.677
2.213326,-54.961312,7.623,7.677
2.314924,-57.459517,7.623,7.677
2.416383,-59.957718,7.623,7.677
2.517688,-62.455914,7.623,7.677
2.618826,-64.954106,7.623,7.677
2.719783,-67.452293,7.624,7.676
2.820545,-69.950475,7.624,7.676
2.921099,-72.448652,7.624,7.676
3.02143,-74.946823,7.624,7.676
3.121524,-77.4449885,7.624,7.676
3.221368,-79.943148,7.624,7.676
3.320948,-82.441301,7.624,7.676
3.42025,-84.939448,7.624,7.676
3.51926,-87.437588,7.624,7.676
3.617964,-89.935721,7.624,7.676
3.716349,-92.4338465,7.624,7.676
3.8144,-94.931965,7.625,7.675
3.912104,-97.430076,7.625,7.675
4.009447,-99.9281785,7.625,7.675
4.106414,-102.426273,7.625,7.675
4.202993,-104.9243595,7.625,7.675
4.299169,-107.422437,7.637,7.663
4.394929,-109.920506,7.650,7.650
4.490257,-112.4185655,7.663,7.637
4.585142,-114.916616,7.676,7.624
4.679568,-117.4146565,7.689,7.611
4.773523,-119.9126875,7.701,7.599
4.866991,-122.4107085,7.714,7.586
4.95996,-124.908719,7.727,7.573
5.052575,-127.406716,7.740,7.560
5.147529,-129.90464,7.753,7.547
5.249539,-132.4023905,7.766,7.534
5.363383,-134.8998635,7.754,7.546
5.493837,-137.3969565,7.740,7.560
5.645677,-139.8935665,7.725,7.575
5.823679,-142.3895905,7.685,7.615
6.032619,-144.884925,7.630,7.670
6.277275,-147.379467,7.627,7.673
6.562421,-149.873114,7.661,7.639
6.892835,-152.365763,7.695,7.605
7.273292,-154.85731,7.729,7.571
7.708569,-157.347653,7.763,7.537
8.203375,-159.8365945,7.797,7.503
8.761892,-162.3232005,7.810,7.490
9.388056,-164.8061925,7.817,7.483
10.085802,-167.2842885,7.825,7.475
10.859064,-169.7562065,7.833,7.467
11.711775,-172.220666,7.839,7.461
12.64787,-174.6763845,7.841,7.459
13.671283,-177.1220815,7.844,7.456
14.785949,-179.556475,7.846,7.454
