# x_m,y_m
-13.46383,-0.128223
-13.272842,-5.125556
-13.081782,-10.122888
-12.890648,-15.12022
-12.699434,-20.117551
-12.508136,-25.114881
-12.31675,-30.112211
-12.12527,-35.109539
-11.933696,-40.106867
-11.742018,-45.104193
-11.550236,-50.101519
-11.358344,-55.098844
-11.166336,-60.096167
-10.974212,-65.093489
-10.781964,-70.09081
-10.589588,-75.08813
-10.397082,-80.085449
-10.204438,-85.082766
-10.011656,-90.080082
-9.818728,-95.077397
-9.625652,-100.07471
-9.432424,-105.072022
-9.239036,-110.069332
-9.045488,-115.06664
-8.851772,-120.063947
-8.657888,-125.061253
-8.463828,-130.058556
-8.269588,-135.055858
-8.075166,-140.053158
-7.880554,-145.050456
-7.685752,-150.047753
-7.490752,-155.045047
-7.295552,-160.04234
-7.100148,-165.03963
-6.904356,-170.036917
-6.70653,-175.034184
-6.501492,-180.031377
-6.282114,-185.028417
-6.041996,-190.025218
-5.777394,-195.02171
-5.485826,-200.017827
-5.164666,-205.013491
-4.810954,-210.008604
-4.42162,-215.003055
-3.99358,-219.996713
-3.52375,-224.989432
-3.009038,-229.981043
-2.446356,-234.97136
-1.832608,-239.960171
-1.164702,-244.947242
-0.439546,-249.932313
0.345986,-254.915095
1.195588,-259.895248
2.113382,-264.872373
3.103498,-269.84603
4.170052,-274.815733
5.317138,-279.780949
6.548842,-284.741094
7.869226,-289.69553
9.282332,-294.643566
10.79218,-299.584452
12.402764,-304.517377
14.11805,-309.441468
15.941968,-314.355788
17.87841,-319.259331
19.931144,-324.151032
22.10387,-329.029757
24.40025,-333.894301
26.82392,-338.743379
29.378474,-343.575629
32.067468,-348.389606
34.89441,-353.183782
37.86276,-357.95654
40.975916,-362.706175
44.237216,-367.430889
47.649918,-372.128789
51.21719,-376.797891
54.941842,-381.436164
58.826252,-386.041557
62.872714,-390.611929
67.083428,-395.145051
71.460466,-399.63861
76.005488,-404.090289
80.718846,-408.497988
85.598368,-412.860248
90.64095,-417.1759
95.843386,-421.443853
101.202528,-425.663051
106.715276,-429.832482
112.378868,-433.951054
118.191436,-438.017407
124.151456,-442.030046
130.257332,-445.98748
136.507484,-449.888199
142.900304,-453.730681
149.43417,-457.513387
156.107432,-461.234757
162.91842,-464.893216
169.865428,-468.487166
176.946724,-472.01499
184.160536,-475.475041
191.504998,-478.865678
198.978026,-482.185347
206.577316,-485.432563
214.300484,-488.60587
222.145068,-491.703828
230.108566,-494.724983
238.188438,-497.667878
246.382096,-500.531041
254.686906,-503.312989
263.100186,-506.01223
271.619188,-508.627249
280.241104,-511.15653
288.962914,-513.598704
297.780556,-515.953266
306.688516,-518.221238
315.681036,-520.40421
324.752554,-522.503876
333.897806,-524.521986
343.11181,-526.46034
352.389806,-528.320775
361.727252,-530.105203
371.120184,-531.815291
380.56569,-533.451596
390.061242,-535.013925
399.604106,-536.502332
409.191404,-537.917601
418.819858,-539.261265
428.486204,-540.535017
438.187484,-541.740573
447.92084,-542.879678
457.683576,-543.954094
467.473166,-544.965599
477.287226,-545.915983
487.12353,-546.807046
496.979982,-547.640595
506.854636,-548.418446
516.745674,-549.142427
526.651396,-549.814333
536.570282,-550.43581
546.500948,-551.008393
556.44208,-551.53362
566.392466,-552.013044
576.350988,-552.448223
586.316604,-552.840725
596.288356,-553.192124
606.265368,-553.504001
616.246832,-553.77794
626.23203,-554.015531
636.220304,-554.218365
646.211036,-554.388046
656.20373,-554.526016
666.197934,-554.633455
676.193214,-554.711461
686.189218,-554.761143
696.18561,-554.783605
706.182106,-554.779946
716.1784,-554.751263
726.174182,-554.698649
736.169404,-554.623526
746.16402,-554.527199
756.157738,-554.409274
766.15027,-554.268624
776.141344,-554.104065
786.130642,-553.91441
796.117804,-553.698468
806.102438,-553.455049
816.084112,-553.182959
826.06235,-552.881003
836.03663,-552.547987
846.006392,-552.182714
855.971026,-551.783989
865.929862,-551.350616
875.882204,-550.881402
885.827288,-550.375153
895.764268,-549.830708
905.692258,-549.24669
915.61017,-548.621267
