# x_m,y_m
-6.731915,-0.256446
-6.636421,-10.251112
-6.540891,-20.245776
-6.445324,-30.24044
-6.349717,-40.235102
-6.254068,-50.229762
-6.158375,-60.224422
-6.062635,-70.219078
-5.966848,-80.213734
-5.871009,-90.208386
-5.775118,-100.203038
-5.679172,-110.197688
-5.583168,-120.192334
-5.487106,-130.186978
-5.390982,-140.18162
-5.294794,-150.17626
-5.198541,-160.170898
-5.102219,-170.165532
-5.005828,-180.160164
-4.909364,-190.154794
-4.812826,-200.14942
-4.716212,-210.144044
-4.619518,-220.138664
-4.522744,-230.13328
-4.425886,-240.127894
-4.328944,-250.122506
-4.231914,-260.117112
-4.134794,-270.111716
-4.037583,-280.106316
-3.940277,-290.100912
-3.842876,-300.095506
-3.745376,-310.090094
-3.647776,-320.08468
-3.550074,-330.07926
-3.452178,-340.073834
-3.353265,-350.068368
-3.250746,-360.062754
-3.141057,-370.056834
-3.020998,-380.050436
-2.888697,-390.04342
-2.742913,-400.035654
-2.582333,-410.026982
-2.405477,-420.017208
-2.21081,-430.00611
-1.99679,-439.993426
-1.761875,-449.978864
-1.504519,-459.962086
-1.223178,-469.94272
-0.916304,-479.920342
-0.582351,-489.894484
-0.219773,-499.864626
0.172993,-509.83019
0.597794,-519.790496
1.056691,-529.744746
1.551749,-539.69206
2.085026,-549.631466
2.658569,-559.561898
3.274421,-569.482188
3.934613,-579.39106
4.641166,-589.287132
5.39609,-599.168904
6.201382,-609.034754
7.059025,-618.882936
7.970984,-628.711576
8.939205,-638.518662
9.965572,-648.302064
11.051935,-658.059514
12.200125,-667.788602
13.41196,-677.486758
14.689237,-687.151258
16.033734,-696.779212
17.447205,-706.367564
18.93138,-715.91308
20.487958,-725.41235
22.118608,-734.861778
23.824959,-744.257578
25.608595,-753.595782
27.470921,-762.872328
29.413126,-772.083114
31.436357,-781.223858
33.541714,-790.290102
35.730233,-799.27722
38.002744,-808.180578
40.359423,-816.995976
42.799184,-825.720496
45.320475,-834.3518
47.921693,-842.887706
50.601264,-851.326102
53.357638,-859.664964
56.189434,-867.902108
59.095718,-876.034814
62.075728,-884.060092
65.128666,-891.97496
68.253742,-899.776398
71.450152,-907.461362
74.717085,-915.026774
78.053716,-922.469514
81.45921,-929.786432
84.932714,-936.974332
88.473362,-944.02998
92.080268,-950.950082
95.752499,-957.731356
99.489013,-964.370694
103.288658,-970.865126
107.150242,-977.21174
111.072534,-983.407656
115.054283,-989.449966
119.094219,-995.335756
123.191048,-1001.062082
127.343453,-1006.625978
131.550093,-1012.02446
135.809594,-1017.254498
140.120552,-1022.31306
144.481457,-1027.197408
148.890278,-1031.906532
153.344258,-1036.442476
157.840518,-1040.80842
162.376277,-1045.007752
166.948903,-1049.043972
171.555905,-1052.92068
176.194903,-1056.64155
180.863626,-1060.210406
185.560092,-1063.630582
190.282845,-1066.903192
195.030621,-1070.02785
199.802053,-1073.004664
204.595702,-1075.835202
209.409929,-1078.52253
214.243102,-1081.070034
219.093742,-1083.481146
223.96042,-1085.759356
228.841788,-1087.908188
233.736583,-1089.931198
238.643613,-1091.831966
243.561765,-1093.614092
248.489991,-1095.28119
253.427318,-1096.836892
258.372837,-1098.284854
263.325698,-1099.628666
268.285141,-1100.87162
273.250474,-1102.016786
278.22104,-1103.06724
283.196233,-1104.026088
288.175494,-1104.896446
293.158302,-1105.68145
298.144178,-1106.384248
303.132684,-1107.008002
308.123416,-1107.55588
313.116015,-1108.031062
318.110152,-1108.43673
323.105518,-1108.776092
328.101865,-1109.052032
333.098967,-1109.26691
338.096607,-1109.422922
343.094609,-1109.522286
348.092805,-1109.56721
353.091053,-1109.559892
358.0892,-1109.502526
363.087091,-1109.397298
368.084702,-1109.247052
373.08201,-1109.054398
378.078869,-1108.818548
383.075135,-1108.537248
388.070672,-1108.20813
393.065321,-1107.82882
398.058902,-1107.396936
403.051219,-1106.910098
408.042056,-1106.365918
413.031175,-1105.762006
418.018315,-1105.095974
423.003196,-1104.365428
427.985513,-1103.567978
432.964931,-1102.701232
437.941102,-1101.762804
442.913644,-1100.750306
447.882134,-1099.661416
452.846129,-1098.49338
457.805085,-1097.242534
462.75836,-1095.904824
467.705285,-1094.47625
472.645133,-1092.952838
477.577108,-1091.330628
482.500359,-1089.605688
487.41397,-1087.774098
492.316955,-1085.831966
497.208259,-1083.775412
502.086766,-1081.600592
506.951256,-1079.30367
511.800456,-1076.880956
516.633161,-1074.329686
521.448182,-1071.648032
526.244304,-1068.834244
531.02028,-1065.88656
535.7748,-1062.80328
540.50651,-1059.58273
545.21401,-1056.223278
549.895851,-1052.723338
554.550516,-1049.081376
559.176446,-1045.29595
563.771939,-1041.365014
568.334807,-1037.28482
572.862555,-1033.051022
577.35259,-1028.659508
581.802176,-1024.106344
586.20841,-1019.38762
590.56819,-1014.499328
594.878755,-1009.439392
599.138356,-1004.209664
603.34564,-998.813188
607.499309,-993.253064
611.598099,-987.53235
615.640767,-981.654068
619.626099,-975.62121
623.552899,-969.436728
627.419993,-963.103548
631.226223,-956.624562
634.970446,-950.002634
638.651535,-943.240602
642.268371,-936.341276
645.819847,-929.307448
649.304862,-922.141886
652.722324,-914.84734
656.071144,-907.42655
659.350234,-899.88224
662.558517,-892.217132
665.694871,-884.433868
668.758015,-876.534832
671.746554,-868.522286
674.659081,-860.39855
677.494179,-852.165984
680.250415,-843.826982
682.926341,-835.384002
685.520497,-826.83955
688.03141,-818.196198
690.45761,-809.456624
692.798075,-800.624116
695.053383,-791.703458
697.224743,-782.699754
699.313104,-773.617752
701.319808,-764.462432
703.246333,-755.23848
705.094154,-745.950354
706.864785,-736.602294
708.559794,-727.198236
710.180265,-717.741744
711.726368,-708.23561
713.197952,-698.68223
714.594929,-689.084104
715.917217,-679.443766
717.164822,-669.763792
718.338444,-660.04685
719.439788,-650.296052
720.470843,-640.51462
721.433578,-630.705366
722.330021,-620.871
723.162162,-611.014106
723.932268,-601.137044
724.643312,-591.242246
725.298609,-581.33208
725.901445,-571.408612
726.455096,-561.473662
726.962901,-551.52892
727.428128,-541.575888
727.853175,-531.615648
728.239483,-521.649076
728.588356,-511.676998
728.901167,-501.700124
729.179263,-491.71913
729.424003,-481.73464
729.636743,-471.74721
729.818838,-461.757356
729.971643,-451.765534
730.096512,-441.772156
730.194795,-431.777588
730.267836,-421.78215
730.316954,-411.78613
730.343438,-401.789766
730.348531,-391.793264
730.333454,-381.79681
730.299433,-371.800538
730.247688,-361.804588
730.179469,-351.809096
730.096475,-341.814068
730.001417,-331.819408
729.897637,-321.825068
729.788272,-311.830972
729.675268,-301.837036
729.559281,-291.843236
729.4406,-281.849564
729.319479,-271.85601
729.196171,-261.86256
729.070932,-251.869208
728.944014,-241.87594
728.815673,-231.882746
728.686161,-221.889612
728.555733,-211.896524
728.424643,-201.903472
728.293145,-191.91044
728.161493,-181.917422
728.029941,-171.924404
727.89869,-161.931366
727.767822,-151.938302
727.637355,-141.945218
727.507292,-131.952112
727.377636,-121.958984
727.248388,-111.965836
727.119551,-101.972666
726.991128,-91.979476
726.863119,-81.986264
726.735525,-71.99303
726.60834,-61.999776
726.481558,-52.006502
726.355176,-42.013206
726.229187,-32.019892
726.103586,-22.026558
725.978369,-12.033204
725.853529,-2.039832
725.729061,7.95356
725.604961,17.946968
725.481223,27.940396
725.357841,37.933842
725.234811,47.927304
725.112126,57.920782
724.989783,67.914278
724.867775,77.90779
724.746098,87.90132
724.624745,97.894864
724.503713,107.888424
724.382995,117.881998
724.262586,127.875588
724.142481,137.869192
724.022675,147.862812
723.903162,157.856444
723.783938,167.850092
723.664996,177.843752
723.546333,187.837426
723.427941,197.831112
723.309817,207.82481
723.191955,217.818522
723.074349,227.812246
722.956994,237.80598
722.839886,247.799728
722.723018,257.793486
722.606386,267.787254
722.489984,277.781034
722.373807,287.774824
722.25785,297.768626
722.142108,307.762436
722.026574,317.756256
721.911245,327.750086
721.796114,337.743924
721.681177,347.737772
721.566427,357.731628
721.451861,367.725492
721.337472,377.719366
721.223256,387.713246
721.109206,397.707134
720.995319,407.70103
720.881588,417.694932
720.768008,427.688842
720.654574,437.682758
720.541281,447.676682
720.428124,457.67061
720.315096,467.664546
720.202194,477.658486
720.089411,487.652432
719.976743,497.646382
719.864184,507.640338
719.751728,517.634298
719.639372,527.628264
719.527108,537.622234
719.414933,547.616206
719.30284,557.610184
719.190825,567.604164
719.078883,577.598148
718.967007,587.592134
718.855193,597.586124
718.743436,607.580116
718.631729,617.57411
718.520069,627.568106
718.408449,637.562104
718.296865,647.556104
718.185311,657.550104
718.073782,667.544106
717.962272,677.53811
717.850777,687.532112
717.73929,697.526116
717.627808,707.52012
717.516324,717.514126
717.404833,727.508128
717.293331,737.502132
717.181811,747.496134
717.070269,757.490136
716.958698,767.484136
716.847095,777.478136
716.735454,787.472132
716.623768,797.466128
716.512034,807.46012
716.400246,817.45411
716.288399,827.448098
716.176487,837.442084
716.064507,847.436066
715.952461,857.430044
715.840349,867.42402
715.728172,877.417994
715.61593,887.411964
715.503625,897.40593
715.391257,907.399896
715.278827,917.393856
715.166335,927.387816
715.053783,937.381772
714.941172,947.375726
714.828501,957.369676
714.715773,967.363624
714.602987,977.35757
714.490145,987.351514
714.377246,997.345454
714.264293,1007.339392
714.151286,1017.333328
714.038225,1027.327262
713.925111,1037.321192
713.811946,1047.31512
713.69873,1057.309046
713.585463,1067.30297
713.472147,1077.296892
713.358782,1087.290812
713.245369,1097.28473
713.13191,1107.278644
713.018403,1117.272558
712.904852,1127.266468
712.791255,1137.260378
712.677615,1147.254284
712.563931,1157.24819
712.450195,1167.242092
712.336078,1177.235976
712.219791,1187.229754
712.097993,1197.223224
711.967248,1207.216204
711.825023,1217.2086
711.669861,1227.20028
711.500686,1237.191062
711.316227,1247.180764
711.11506,1257.169174
710.895724,1267.15605
710.65676,1277.141122
710.396704,1287.124088
710.114093,1297.1046
709.807462,1307.08227
709.475345,1317.05668
709.116276,1327.027358
708.728801,1336.993762
708.311342,1346.955316
707.862014,1356.911334
707.378801,1366.86099
706.859718,1376.80341
706.30278,1386.737632
705.70601,1396.662596
705.067443,1406.577148
704.385123,1416.480032
