# x_m,y_m
-3.3659575,-0.128223
-3.3182105,-5.125556
-3.2704455,-10.122888
-3.222662,-15.120220
-3.1748585,-20.117551
-3.127034,-25.114881
-3.0791875,-30.112211
-3.0313175,-35.109539
-2.983424,-40.106867
-2.9355045,-45.104193
-2.887559,-50.101519
-2.839586,-55.098844
-2.791584,-60.096167
-2.743553,-65.093489
-2.695491,-70.090810
-2.647397,-75.088130
-2.5992705,-80.085449
-2.5511095,-85.082766
-2.502914,-90.080082
-2.454682,-95.077397
-2.406413,-100.074710
-2.358106,-105.072022
-2.309759,-110.069332
-2.261372,-115.066640
-2.212943,-120.063947
-2.164472,-125.061253
-2.115957,-130.058556
-2.067397,-135.055858
-2.0187915,-140.053158
-1.9701385,-145.050456
-1.921438,-150.047753
-1.872688,-155.045047
-1.823888,-160.042340
-1.775037,-165.039630
-1.726089,-170.036917
-1.6766325,-175.034184
-1.625373,-180.031377
-1.5705285,-185.028417
-1.510499,-190.025218
-1.4443485,-195.021710
-1.3714565,-200.017827
-1.2911665,-205.013491
-1.2027385,-210.008604
-1.105405,-215.003055
-0.998395,-219.996713
-0.8809375,-224.989432
-0.7522595,-229.981043
-0.611589,-234.971360
-0.458152,-239.960171
-0.2911755,-244.947242
-0.1098865,-249.932313
0.0864965,-254.915095
0.298897,-259.895248
0.5283455,-264.872373
0.7758745,-269.846030
1.042513,-274.815733
1.3292845,-279.780949
1.6372105,-284.741094
1.9673065,-289.695530
2.320583,-294.643566
2.698045,-299.584452
3.100691,-304.517377
3.5295125,-309.441468
3.985492,-314.355788
4.4696025,-319.259331
4.982786,-324.151032
5.5259675,-329.029757
6.1000625,-333.894301
6.70598,-338.743379
7.3446185,-343.575629
8.016867,-348.389606
8.7236025,-353.183782
9.46569,-357.956540
10.243979,-362.706175
11.059304,-367.430889
11.9124795,-372.128789
12.8042975,-376.797891
13.7354605,-381.436164
14.706563,-386.041557
15.7181785,-390.611929
16.770857,-395.145051
17.8651165,-399.638610
19.001372,-404.090289
20.1797115,-408.497988
21.399592,-412.860248
22.6602375,-417.175900
23.9608465,-421.443853
25.300632,-425.663051
26.678819,-429.832482
28.094717,-433.951054
29.547859,-438.017407
31.037864,-442.030046
32.564333,-445.987480
34.126871,-449.888199
35.725076,-453.730681
37.3585425,-457.513387
39.026858,-461.234757
40.729605,-464.893216
42.466357,-468.487166
44.236681,-472.014990
46.040134,-475.475041
47.8762495,-478.865678
49.7445065,-482.185347
51.644329,-485.432563
53.575121,-488.605870
55.536267,-491.703828
57.5271415,-494.724983
59.5471095,-497.667878
61.595524,-500.531041
63.6717265,-503.312989
65.7750465,-506.012230
67.904797,-508.627249
70.060276,-511.156530
72.2407285,-513.598704
74.445139,-515.953266
76.672129,-518.221238
78.920259,-520.404210
81.1881385,-522.503876
83.4744515,-524.521986
85.7779525,-526.460340
88.0974515,-528.320775
90.431813,-530.105203
92.780046,-531.815291
95.1414225,-533.451596
97.5153105,-535.013925
99.9010265,-536.502332
102.297851,-537.917601
104.7049645,-539.261265
107.121551,-540.535017
109.546871,-541.740573
111.98021,-542.879678
114.420894,-543.954094
116.8682915,-544.965599
119.3218065,-545.915983
121.7808825,-546.807046
124.2449955,-547.640595
126.713659,-548.418446
129.1864185,-549.142427
131.662849,-549.814333
134.1425705,-550.435810
136.625237,-551.008393
139.11052,-551.533620
141.5981165,-552.013044
144.087747,-552.448223
146.579151,-552.840725
149.072089,-553.192124
151.566342,-553.504001
154.061708,-553.777940
156.5580075,-554.015531
159.055076,-554.218365
161.552759,-554.388046
164.0509325,-554.526016
166.5494835,-554.633455
169.0483035,-554.711461
171.5473045,-554.761143
174.0464025,-554.783605
176.5455265,-554.779946
179.0446,-554.751263
181.5435455,-554.698649
184.042351,-554.623526
186.541005,-554.527199
189.0394345,-554.409274
191.5375675,-554.268624
194.035336,-554.104065
196.5326605,-553.914410
199.029451,-553.698468
201.5256095,-553.455049
204.021028,-553.182959
206.5155875,-552.881003
209.0091575,-552.547987
211.501598,-552.182714
213.9927565,-551.783989
216.4824655,-551.350616
218.970551,-550.881402
221.456822,-550.375153
223.941067,-549.830708
226.4230645,-549.246690
228.9025425,-548.621267
231.37918,-547.952412
233.8526425,-547.238125
236.3225665,-546.476419
238.788554,-545.665314
241.2501795,-544.802844
243.706985,-543.887049
246.1584775,-542.915983
248.6041295,-541.887706
251.043383,-540.800296
253.475628,-539.651835
255.900228,-538.440478
258.3165805,-537.164843
260.724091,-535.824016
263.122152,-534.417122
265.51014,-532.943280
267.8874,-531.401640
270.253255,-529.791365
272.607005,-528.111639
274.9479255,-526.361669
277.275258,-524.540688
279.588223,-522.647975
281.8859695,-520.682507
284.1674035,-518.642410
286.4312775,-516.525511
288.676295,-514.329754
290.901088,-512.053172
293.104205,-509.693810
295.284095,-507.249664
297.4393775,-504.719696
299.569178,-502.104832
301.67282,-499.406594
303.7496545,-496.626532
305.7990495,-493.766175
307.8203835,-490.827034
309.8130495,-487.810605
311.7764495,-484.718364
313.7099965,-481.551774
315.6131115,-478.312281
317.485223,-475.001317
319.3257675,-471.620301
321.1341855,-468.170638
322.9099235,-464.653724
324.652431,-461.070943
326.361162,-457.423670
328.035572,-453.713275
329.675117,-449.941120
331.2792585,-446.108566
332.8474355,-442.216934
334.3790075,-438.267416
335.873277,-434.261143
337.3295405,-430.199275
338.7470895,-426.082992
340.1252075,-421.913491
341.4631705,-417.692001
342.7602485,-413.419775
344.015705,-409.098099
345.228805,-404.728312
346.3990375,-400.312058
347.5266915,-395.851729
348.6123715,-391.349877
349.656552,-386.808876
350.659904,-382.231216
351.6231665,-377.619240
352.547077,-372.975177
353.4323925,-368.301147
354.279897,-363.599118
355.0901325,-358.870872
355.863184,-354.117805
356.598976,-349.341115
357.2974645,-344.542052
357.9586085,-339.721883
358.582411,-334.881896
359.169222,-330.023425
359.719894,-325.148026
360.2354215,-320.257310
360.716789,-315.352683
361.1650105,-310.435500
361.581081,-305.507053
361.966134,-300.568522
362.321656,-295.621123
362.6493045,-290.666040
362.9507225,-285.704306
363.227548,-280.736831
363.4814505,-275.764460
363.714064,-270.787944
363.9265875,-265.807824
364.1197415,-260.824538
364.294178,-255.838499
364.4505835,-250.850062
364.5896315,-245.859565
364.7120015,-240.867320
364.8183715,-235.873605
364.909419,-230.878678
364.9858215,-225.882767
365.048256,-220.886078
365.0973975,-215.888794
365.133918,-210.891075
365.158477,-205.893065
365.171719,-200.894883
365.1742655,-195.896632
365.166727,-190.898405
365.1497165,-185.900269
365.123844,-180.902294
365.0897345,-175.904548
365.0482375,-170.907034
365.0007085,-165.909704
364.9488185,-160.912534
364.894136,-155.915486
364.837634,-150.918518
364.7796405,-145.921618
364.7203,-140.924782
364.6597395,-135.928005
364.5980855,-130.931280
364.535466,-125.934604
364.472007,-120.937970
364.4078365,-115.941373
364.3430805,-110.944806
364.2778665,-105.948262
364.2123215,-100.951736
364.1465725,-95.955220
364.0807465,-90.958711
364.0149705,-85.962202
363.949345,-80.965683
363.883911,-75.969151
363.8186775,-70.972609
363.753646,-65.976056
363.688818,-60.979492
363.624194,-55.982918
363.5597755,-50.986333
363.495564,-45.989738
363.4315595,-40.993132
363.3677625,-35.996515
363.30417,-30.999888
363.240779,-26.003251
363.177588,-21.006603
363.1145935,-16.009946
363.051793,-11.013279
362.9891845,-6.016602
362.9267645,-1.019916
362.8645305,3.976780
362.8024805,8.973484
362.7406115,13.970198
362.6789205,18.966921
362.6174055,23.963652
362.556063,28.960391
362.4948915,33.957139
362.4338875,38.953895
362.373049,43.950660
362.3123725,48.947432
362.2518565,53.944212
362.1914975,58.940999
362.131293,63.937794
362.0712405,68.934596
362.0113375,73.931406
361.951581,78.928222
361.891969,83.925046
361.832498,88.921876
361.7731665,93.918713
361.7139705,98.915556
361.6549085,103.912405
361.5959775,108.909261
361.5371745,113.906123
361.478497,118.902990
361.419943,123.899864
361.361509,128.896743
361.303193,133.893627
361.244992,138.890517
361.1869035,143.887412
361.128925,148.884313
361.071054,153.881218
361.013287,158.878128
360.9556225,163.875043
360.898057,168.871962
360.8405885,173.868886
360.7832135,178.865814
360.7259305,183.862746
360.668736,188.859683
360.611628,193.856623
360.554603,198.853567
360.4976595,203.850515
360.440794,208.847466
360.384004,213.844421
360.327287,218.841379
360.2706405,223.838341
360.214062,228.835305
360.157548,233.832273
360.101097,238.829243
360.0447055,243.826216
359.9883715,248.823191
359.932092,253.820169
359.875864,258.817149
359.819686,263.814132
359.763554,268.811117
359.7074665,273.808103
359.65142,278.805092
359.5954125,283.802082
359.5394415,288.799074
359.4835035,293.796067
359.4275965,298.793062
359.371718,303.790058
359.3158645,308.787055
359.2600345,313.784053
359.2042245,318.781052
359.1484325,323.778052
359.0926555,328.775052
359.036891,333.772053
358.981136,338.769055
358.9253885,343.766056
358.869645,348.763058
358.813904,353.760060
358.758162,358.757063
358.7024165,363.754064
358.6466655,368.751066
358.5909055,373.748067
358.5351345,378.745068
358.479349,383.742068
358.4235475,388.739068
358.367727,393.736066
358.311884,398.733064
358.256017,403.730060
358.200123,408.727055
358.1441995,413.724049
358.0882435,418.721042
358.0322535,423.718033
357.9762305,428.715022
357.9201745,433.712010
357.864086,438.708997
357.807965,443.705982
