# x_m,y_m
-6.731915,-0.0641115
-6.636421,-2.562778
-6.540891,-5.061444
-6.445324,-7.56011
-6.349717,-10.0587755
-6.254068,-12.5574405
-6.158375,-15.0561055
-6.062635,-17.5547695
-5.966848,-20.0534335
-5.871009,-22.5520965
-5.775118,-25.0507595
-5.679172,-27.549422
-5.583168,-30.0480835
-5.487106,-32.5467445
-5.390982,-35.045405
-5.294794,-37.544065
-5.198541,-40.0427245
-5.102219,-42.541383
-5.005828,-45.040041
-4.909364,-47.5386985
-4.812826,-50.037355
-4.716212,-52.536011
-4.619518,-55.034666
-4.522744,-57.53332
-4.425886,-60.0319735
-4.328944,-62.5306265
-4.231914,-65.029278
-4.134794,-67.527929
-4.037583,-70.026579
-3.940277,-72.525228
-3.842876,-75.0238765
-3.745376,-77.5225235
-3.647776,-80.02117
-3.550074,-82.519815
-3.452178,-85.0184585
-3.353265,-87.517092
-3.250746,-90.0156885
-3.141057,-92.5142085
-3.020998,-95.012609
-2.888697,-97.510855
-2.742913,-100.0089135
-2.582333,-102.5067455
-2.405477,-105.004302
-2.21081,-107.5015275
-1.99679,-109.9983565
-1.761875,-112.494716
-1.504519,-114.9905215
-1.223178,-117.48568
-0.916304,-119.9800855
-0.582351,-122.473621
-0.219773,-124.9661565
0.172993,-127.4575475
0.597794,-129.947624
1.056691,-132.4361865
1.551749,-134.923015
2.085026,-137.4078665
2.658569,-139.8904745
3.274421,-142.370547
3.934613,-144.847765
4.641166,-147.321783
5.39609,-149.792226
6.201382,-152.2586885
7.059025,-154.720734
7.970984,-157.177894
8.939205,-159.6296655
9.965572,-162.075516
11.051935,-164.5148785
12.200125,-166.9471505
13.41196,-169.3716895
14.689237,-171.7878145
16.033734,-174.194803
17.447205,-176.591891
18.93138,-178.97827
20.487958,-181.3530875
22.118608,-183.7154445
23.824959,-186.0643945
25.608595,-188.3989455
27.470921,-190.718082
29.413126,-193.0207785
31.436357,-195.3059645
33.541714,-197.5725255
35.730233,-199.819305
38.002744,-202.0451445
40.359423,-204.248994
42.799184,-206.430124
45.320475,-208.58795
47.921693,-210.7219265
50.601264,-212.8315255
53.357638,-214.916241
56.189434,-216.975527
59.095718,-219.0087035
62.075728,-221.015023
65.128666,-222.99374
68.253742,-224.9440995
71.450152,-226.8653405
74.717085,-228.7566935
78.053716,-230.6173785
81.45921,-232.446608
84.932714,-234.243583
88.473362,-236.007495
92.080268,-237.7375205
95.752499,-239.432839
99.489013,-241.0926735
103.288658,-242.7162815
107.150242,-244.302935
111.072534,-245.851914
115.054283,-247.3624915
119.094219,-248.833939
123.191048,-250.2655205
127.343453,-251.6564945
131.550093,-253.006115
135.809594,-254.3136245
140.120552,-255.578265
144.481457,-256.799352
148.890278,-257.976633
153.344258,-259.110619
157.840518,-260.202105
162.376277,-261.251938
166.948903,-262.260993
171.555905,-263.23017
176.194903,-264.1603875
180.863626,-265.0526015
185.560092,-265.9076455
190.282845,-266.725798
195.030621,-267.5069625
199.802053,-268.251166
204.595702,-268.9588005
209.409929,-269.6306325
214.243102,-270.2675085
219.093742,-270.8702865
223.96042,-271.439839
228.841788,-271.977047
233.736583,-272.4827995
238.643613,-272.9579915
243.561765,-273.403523
248.489991,-273.8202975
253.427318,-274.209223
258.372837,-274.5712135
263.325698,-274.9071665
268.285141,-275.217905
273.250474,-275.5041965
278.22104,-275.76681
283.196233,-276.006522
288.175494,-276.2241115
293.158302,-276.4203625
298.144178,-276.596062
303.132684,-276.7520005
308.123416,-276.88897
313.116015,-277.0077655
318.110152,-277.1091825
323.105518,-277.194023
328.101865,-277.263008
333.098967,-277.3167275
338.096607,-277.3557305
343.094609,-277.3805715
348.092805,-277.3918025
353.091053,-277.389973
358.0892,-277.3756315
363.087091,-277.3493245
368.084702,-277.311763
373.08201,-277.2635995
378.078869,-277.204637
383.075135,-277.134312
388.070672,-277.0520325
393.065321,-276.957205
398.058902,-276.849234
403.051219,-276.7275245
408.042056,-276.5914795
413.031175,-276.4405015
418.018315,-276.2739935
423.003196,-276.091357
427.985513,-275.8919945
432.964931,-275.675308
437.941102,-275.440701
442.913644,-275.1875765
447.882134,-274.915354
452.846129,-274.623345
457.805085,-274.3106335
462.75836,-273.976206
467.705285,-273.6190625
472.645133,-273.2382095
477.577108,-272.832657
482.500359,-272.401422
487.41397,-271.9435245
492.316955,-271.4579915
497.208259,-270.943853
502.086766,-270.400148
506.951256,-269.8259175
511.800456,-269.220239
516.633161,-268.5824215
521.448182,-267.912008
526.244304,-267.208561
531.02028,-266.47164
535.7748,-265.70082
540.50651,-264.8956825
545.21401,-264.0558195
549.895851,-263.1808345
554.550516,-262.270344
559.176446,-261.3239875
563.771939,-260.3412535
568.334807,-259.321205
572.862555,-258.2627555
577.35259,-257.164877
581.802176,-256.026586
586.20841,-254.846905
590.56819,-253.624832
594.878755,-252.359848
599.138356,-251.052416
603.34564,-249.703297
607.499309,-248.313266
611.598099,-246.8830875
615.640767,-245.413517
619.626099,-243.9053025
623.552899,-242.359182
627.419993,-240.775887
631.226223,-239.1561405
634.970446,-237.5006585
638.651535,-235.8101505
642.268371,-234.085319
645.819847,-232.326862
649.304862,-230.5354715
652.722324,-228.711835
656.071144,-226.8566375
659.350234,-224.97056
662.558517,-223.054283
665.694871,-221.108467
668.758015,-219.133708
671.746554,-217.1305715
674.659081,-215.0996375
677.494179,-213.041496
680.250415,-210.9567455
682.926341,-208.8460005
685.520497,-206.7098875
688.03141,-204.5490495
690.45761,-202.364156
692.798075,-200.156029
695.053383,-197.9258645
697.224743,-195.6749385
699.313104,-193.404438
701.319808,-191.115608
703.246333,-188.80962
705.094154,-186.4875885
706.864785,-184.1505735
708.559794,-181.799559
710.180265,-179.435436
711.726368,-177.0589025
713.197952,-174.6705575
714.594929,-172.271026
715.917217,-169.8609415
717.164822,-167.440948
718.338444,-165.0117125
719.439788,-162.574013
720.470843,-160.128655
721.433578,-157.6763415
722.330021,-155.21775
723.162162,-152.7535265
723.932268,-150.284261
724.643312,-147.8105615
725.298609,-145.33302
725.901445,-142.852153
726.455096,-140.3684155
726.962901,-137.88223
727.428128,-135.393972
727.853175,-132.903912
728.239483,-130.412269
728.588356,-127.9192495
728.901167,-125.425031
729.179263,-122.9297825
729.424003,-120.43366
729.636743,-117.9368025
729.818838,-115.439339
729.971643,-112.9413835
730.096512,-110.443039
730.194795,-107.944397
730.267836,-105.4455375
730.316954,-102.9465325
730.343438,-100.4474415
730.348531,-97.948316
730.333454,-95.4492025
730.299433,-92.9501345
730.247688,-90.451147
730.179469,-87.952274
730.096475,-85.453517
730.001417,-82.954852
729.897637,-80.456267
729.788272,-77.957743
729.675268,-75.459259
729.559281,-72.960809
729.4406,-70.462391
729.319479,-67.9640025
729.196171,-65.46564
729.070932,-62.967302
728.944014,-60.468985
728.815673,-57.9706865
728.686161,-55.472403
728.555733,-52.974131
728.424643,-50.475868
728.293145,-47.97761
728.161493,-45.4793555
728.029941,-42.981101
727.89869,-40.4828415
727.767822,-37.9845755
727.637355,-35.4863045
727.507292,-32.988028
727.377636,-30.489746
727.248388,-27.991459
727.119551,-25.4931665
726.991128,-22.994869
726.863119,-20.496566
726.735525,-17.9982575
726.60834,-15.499944
726.481558,-13.0016255
726.355176,-10.5033015
726.229187,-8.004973
726.103586,-5.5066395
725.978369,-3.008301
725.853529,-0.509958
725.729061,1.98839
725.604961,4.486742
725.481223,6.985099
725.357841,9.4834605
725.234811,11.981826
725.112126,14.4801955
724.989783,16.9785695
724.867775,19.4769475
724.746098,21.97533
724.624745,24.473716
724.503713,26.972106
724.382995,29.4704995
724.262586,31.968897
724.142481,34.467298
724.022675,36.965703
723.903162,39.464111
723.783938,41.962523
723.664996,44.460938
723.546333,46.9593565
723.427941,49.457778
723.309817,51.9562025
723.191955,54.4546305
723.074349,56.9530615
722.956994,59.451495
722.839886,61.949932
722.723018,64.4483715
722.606386,66.9468135
722.489984,69.4452585
722.373807,71.943706
