# x_m,y_m,w_tr_right_m,w_tr_left_m
0.246828,-0.739252,5.388,5.699
2.453214,-5.613015,5.352,5.669
4.655632,-10.486809,5.314,5.636
6.838168,-15.362353,5.276,5.603
8.977198,-20.24221,5.238,5.570
11.049024,-25.12895,5.200,5.537
13.029944,-30.025142,5.162,5.504
14.89626,-34.933357,5.124,5.471
16.624274,-39.856163,5.147,5.469
18.194038,-44.79545,5.189,5.477
19.60386,-49.749798,5.232,5.485
20.857576,-54.716781,5.274,5.493
21.95903,-59.693974,5.317,5.501
22.912064,-64.678953,5.359,5.509
23.720518,-69.669291,5.378,5.560
24.388238,-74.662566,5.370,5.659
24.919402,-79.656891,5.362,5.758
25.319106,-84.651818,5.354,5.856
25.592594,-89.647136,5.345,5.955
25.745106,-94.642633,5.342,6.052
25.781886,-99.638097,5.492,6.091
25.708174,-104.633316,5.641,6.130
25.529218,-109.62808,5.790,6.170
25.250256,-114.622176,5.940,6.209
24.876532,-119.615393,6.089,6.248
24.413288,-124.607518,6.230,6.286
23.86577,-129.598342,6.204,6.296
23.239216,-134.587651,6.177,6.306
22.538872,-139.575234,6.151,6.316
21.77002,-144.560888,6.124,6.326
20.938754,-149.544565,6.098,6.335
20.051882,-154.526359,6.071,6.345
19.116246,-159.506368,6.045,6.355
18.138684,-164.48469,6.054,6.349
17.126032,-169.461422,6.086,6.333
16.085128,-174.436664,6.117,6.316
15.022812,-179.410512,6.149,6.300
13.945924,-184.383065,6.180,6.284
12.861298,-189.354421,6.211,6.268
11.775774,-194.324678,6.243,6.251
10.69619,-199.293934,6.274,6.235
9.629386,-204.262288,6.306,6.219
8.582198,-209.229836,6.337,6.202
7.550872,-214.19672,6.372,6.195
6.48173,-219.163273,6.414,6.206
5.306408,-224.129889,6.361,6.288
3.960384,-229.097042,6.279,6.391
2.58989,-234.069583,6.196,6.495
1.656568,-239.058918,6.266,6.553
1.647744,-244.07686,6.526,6.557
2.965076,-249.074091,6.826,6.072
5.788438,-253.843027,6.844,6.051
10.262288,-258.150809,6.814,6.216
16.512144,-261.775935,6.834,6.360
24.324612,-264.700141,6.774,6.547
33.193732,-267.080607,6.727,6.518
42.606996,-269.079965,6.688,6.379
52.203114,-270.845518,6.649,6.239
61.838452,-272.502504,6.610,6.100
71.38627,-274.174449,6.570,5.961
80.719828,-275.984878,6.531,5.821
89.71238,-278.057317,6.143,5.999
98.23719,-280.515293,5.861,6.184
106.165162,-283.476264,6.072,6.361
113.326662,-286.953211,6.285,6.608
119.517888,-290.87105,6.849,7.495
124.533964,-295.15194,6.706,7.842
128.17002,-299.718042,6.824,7.268
130.221184,-304.491516,6.927,6.985
130.482582,-309.394524,6.965,6.886
128.783368,-314.337862,6.917,6.667
125.224452,-319.141581,6.845,6.613
120.036974,-323.582245,6.647,7.082
113.452952,-327.436468,6.665,7.255
105.720208,-330.564765,6.846,6.937
97.123362,-333.022953,6.827,6.644
87.952254,-334.894579,6.448,6.291
78.459608,-336.256747,5.810,6.069
68.743774,-337.159771,5.238,5.863
58.862972,-337.647,5.010,5.462
48.87542,-337.761783,4.922,5.014
38.839342,-337.547469,4.908,4.710
28.812958,-337.047409,4.910,4.663
18.854396,-336.304943,4.744,4.630
9.0003,-335.361505,4.566,4.599
-0.761812,-334.254167,4.490,4.636
-10.451256,-333.019393,4.423,4.680
-20.08735,-331.693649,4.394,4.695
-29.689406,-330.313399,4.423,4.668
-39.276744,-328.915109,4.452,4.642
-48.868438,-327.534738,4.481,4.615
-58.473862,-326.187815,4.512,4.570
-68.089572,-324.862877,4.543,4.516
-77.711246,-323.546613,4.574,4.461
-87.33456,-322.225709,4.606,4.406
-96.955194,-320.886854,4.637,4.352
-106.568824,-319.516734,4.668,4.297
-116.17088,-318.102273,4.563,4.373
-125.753044,-316.633981,4.399,4.507
-135.304072,-315.105165,4.234,4.641
-144.81265,-313.509203,4.070,4.774
-154.267454,-311.839475,4.060,4.777
-163.65717,-310.08936,4.111,4.729
-172.970476,-308.252239,4.161,4.681
-182.196052,-306.32149,4.247,4.598
-191.322584,-304.290492,4.369,4.480
-200.33875,-302.152627,4.491,4.361
-209.233232,-299.901272,4.585,4.278
-217.99471,-297.529807,4.578,4.325
-226.611868,-295.031613,4.571,4.372
-235.073386,-292.400067,4.564,4.419
-243.374326,-289.633609,4.387,4.575
-251.535284,-286.750907,4.208,4.733
-259.583234,-283.775691,4.029,4.891
-267.545154,-280.731687,3.889,5.025
-275.448018,-277.642625,4.175,4.900
-283.318804,-274.532233,4.460,4.775
-291.184488,-271.424238,4.746,4.649
-299.068888,-268.339555,5.031,4.524
-306.972678,-265.278474,5.011,4.529
-314.886228,-262.232102,4.923,4.563
-322.799864,-259.191504,4.836,4.598
-330.703908,-256.147747,4.748,4.632
-338.588684,-253.091898,4.660,4.667
-346.444518,-250.015021,4.572,4.701
-354.264092,-246.910276,4.484,4.736
-362.04939,-243.77908,4.449,4.746
-369.804694,-240.624887,4.453,4.739
-377.534286,-237.45115,4.458,4.731
-385.242446,-234.261323,4.462,4.723
-392.933452,-231.058859,4.467,4.715
-400.611588,-227.847212,4.471,4.708
-408.281134,-224.629836,4.476,4.700
-415.94637,-221.410183,4.509,4.659
-423.611578,-218.191707,4.547,4.612
-431.281036,-214.977863,4.584,4.566
-438.959028,-211.772103,4.622,4.519
-446.649832,-208.57788,4.660,4.473
-454.356934,-205.398164,4.698,4.426
-462.05438,-202.217945,4.736,4.380
-469.678824,-198.999382,4.729,4.371
-477.164504,-195.703159,4.536,4.517
-484.44566,-192.289961,4.343,4.664
-491.456528,-188.72047,4.336,4.638
-498.131346,-184.955372,4.379,4.565
-504.384104,-180.957671,4.431,4.837
-509.83916,-176.723568,4.601,5.288
-513.904564,-172.274056,4.843,5.390
-515.983174,-167.630725,4.813,5.086
-515.715452,-162.824532,4.547,4.577
-513.648756,-157.922201,4.347,4.288
-510.546792,-152.998987,4.304,4.276
-507.125676,-148.121181,4.274,4.288
-503.770164,-143.292647,4.245,4.300
-500.724076,-138.490699,4.203,4.340
-498.230706,-133.692551,4.254,4.360
-496.533354,-128.875418,4.368,4.327
-495.875318,-124.016514,4.414,4.181
-496.499898,-119.093057,4.523,3.910
