# x_m,y_m,w_tr_right_m,w_tr_left_m
0.123414,-1.478504,5.388,5.699
1.226607,-11.22603,5.352,5.669
2.327816,-20.973618,5.314,5.636
3.419084,-30.724706,5.276,5.603
4.488599,-40.48442,5.238,5.570
5.524512,-50.2579,5.200,5.537
6.514972,-60.050284,5.162,5.504
7.44813,-69.866714,5.124,5.471
8.312137,-79.712326,5.147,5.469
9.097019,-89.5909,5.189,5.477
9.80193,-99.499596,5.232,5.485
10.428788,-109.433562,5.274,5.493
10.979515,-119.387948,5.317,5.501
11.456032,-129.357906,5.359,5.509
11.860259,-139.338582,5.378,5.560
12.194119,-149.325132,5.370,5.659
12.459701,-159.313782,5.362,5.758
12.659553,-169.303636,5.354,5.856
12.796297,-179.294272,5.345,5.955
12.872553,-189.285266,5.342,6.052
12.890943,-199.276194,5.492,6.091
12.854087,-209.266632,5.641,6.130
12.764609,-219.25616,5.790,6.170
12.625128,-229.244352,5.940,6.209
12.438266,-239.230786,6.089,6.248
12.206644,-249.215036,6.230,6.286
11.932885,-259.196684,6.204,6.296
11.619608,-269.175302,6.177,6.306
11.269436,-279.150468,6.151,6.316
10.88501,-289.121776,6.124,6.326
10.469377,-299.08913,6.098,6.335
10.025941,-309.052718,6.071,6.345
9.558123,-319.012736,6.045,6.355
9.069342,-328.96938,6.054,6.349
8.563016,-338.922844,6.086,6.333
8.042564,-348.873328,6.117,6.316
7.511406,-358.821024,6.149,6.300
6.972962,-368.76613,6.180,6.284
6.430649,-378.708842,6.211,6.268
5.887887,-388.649356,6.243,6.251
5.348095,-398.587868,6.274,6.235
4.814693,-408.524576,6.306,6.219
4.291099,-418.459672,6.337,6.202
3.775436,-428.39344,6.372,6.195
3.240865,-438.326546,6.414,6.206
2.653204,-448.259778,6.361,6.288
1.980192,-458.194084,6.279,6.391
1.294945,-468.139166,6.196,6.495
0.828284,-478.117836,6.266,6.553
0.823872,-488.15372,6.526,6.557
1.482538,-498.148182,6.826,6.072
2.894219,-507.686054,6.844,6.051
5.131144,-516.301618,6.814,6.216
8.256072,-523.55187,6.834,6.360
12.162306,-529.400282,6.774,6.547
16.596866,-534.161214,6.727,6.518
21.303498,-538.15993,6.688,6.379
26.101557,-541.691036,6.649,6.239
30.919226,-545.005008,6.610,6.100
35.693135,-548.348898,6.570,5.961
40.359914,-551.969756,6.531,5.821
44.85619,-556.114634,6.143,5.999
49.118595,-561.030586,5.861,6.184
53.082581,-566.952528,6.072,6.361
56.663331,-573.906422,6.285,6.608
59.758944,-581.7421,6.849,7.495
62.266982,-590.30388,6.706,7.842
64.08501,-599.436084,6.824,7.268
65.110592,-608.983032,6.927,6.985
65.241291,-618.789048,6.965,6.886
64.391684,-628.675724,6.917,6.667
62.612226,-638.283162,6.845,6.613
60.018487,-647.16449,6.647,7.082
56.726476,-654.872936,6.665,7.255
52.860104,-661.12953,6.846,6.937
48.561681,-666.045906,6.827,6.644
43.976127,-669.789158,6.448,6.291
39.229804,-672.513494,5.810,6.069
34.371887,-674.319542,5.238,5.863
29.431486,-675.294,5.010,5.462
24.43771,-675.523566,4.922,5.014
19.419671,-675.094938,4.908,4.710
14.406479,-674.094818,4.910,4.663
9.427198,-672.609886,4.744,4.630
4.50015,-670.72301,4.566,4.599
-0.380906,-668.508334,4.490,4.636
-5.225628,-666.038786,4.423,4.680
-10.043675,-663.387298,4.394,4.695
-14.844703,-660.626798,4.423,4.668
-19.638372,-657.830218,4.452,4.642
-24.434219,-655.069476,4.481,4.615
-29.236931,-652.37563,4.512,4.570
-34.044786,-649.725754,4.543,4.516
-38.855623,-647.093226,4.574,4.461
-43.66728,-644.451418,4.606,4.406
-48.477597,-641.773708,4.637,4.352
-53.284412,-639.033468,4.668,4.297
-58.08544,-636.204546,4.563,4.373
-62.876522,-633.267962,4.399,4.507
-67.652036,-630.21033,4.234,4.641
-72.406325,-627.018406,4.070,4.774
-77.133727,-623.67895,4.060,4.777
-81.828585,-620.17872,4.111,4.729
-86.485238,-616.504478,4.161,4.681
-91.098026,-612.64298,4.247,4.598
-95.661292,-608.580984,4.369,4.480
-100.169375,-604.305254,4.491,4.361
-104.616616,-599.802544,4.585,4.278
-108.997355,-595.059614,4.578,4.325
-113.305934,-590.063226,4.571,4.372
-117.536693,-584.800134,4.564,4.419
-121.687163,-579.267218,4.387,4.575
-125.767642,-573.501814,4.208,4.733
-129.791617,-567.551382,4.029,4.891
-133.772577,-561.463374,3.889,5.025
