# x_m,y_m,w_tr_right_m,w_tr_left_m
0.061707,-0.739252,5.388,5.699
0.6133035,-5.613015,5.352,5.669
1.163908,-10.486809,5.314,5.636
1.709542,-15.362353,5.276,5.603
2.2442995,-20.242210,5.238,5.570
2.762256,-25.128950,5.200,5.537
3.257486,-30.025142,5.162,5.504
3.724065,-34.933357,5.124,5.471
4.1560685,-39.856163,5.147,5.469
4.5485095,-44.795450,5.189,5.477
4.900965,-49.749798,5.232,5.485
5.214394,-54.716781,5.274,5.493
5.4897575,-59.693974,5.317,5.501
5.728016,-64.678953,5.359,5.509
5.9301295,-69.669291,5.378,5.560
6.0970595,-74.662566,5.370,5.659
6.2298505,-79.656891,5.362,5.758
6.3297765,-84.651818,5.354,5.856
6.3981485,-89.647136,5.345,5.955
6.4362765,-94.642633,5.342,6.052
6.4454715,-99.638097,5.492,6.091
6.4270435,-104.633316,5.641,6.130
6.3823045,-109.628080,5.790,6.170
6.312564,-114.622176,5.940,6.209
6.219133,-119.615393,6.089,6.248
6.103322,-124.607518,6.230,6.286
5.9664425,-129.598342,6.204,6.296
5.809804,-134.587651,6.177,6.306
5.634718,-139.575234,6.151,6.316
5.442505,-144.560888,6.124,6.326
5.2346885,-149.544565,6.098,6.335
5.0129705,-154.526359,6.071,6.345
4.7790615,-159.506368,6.045,6.355
4.534671,-164.484690,6.054,6.349
4.281508,-169.461422,6.086,6.333
4.021282,-174.436664,6.117,6.316
3.755703,-179.410512,6.149,6.300
3.486481,-184.383065,6.180,6.284
3.2153245,-189.354421,6.211,6.268
2.9439435,-194.324678,6.243,6.251
2.6740475,-199.293934,6.274,6.235
2.4073465,-204.262288,6.306,6.219
2.1455495,-209.229836,6.337,6.202
1.887718,-214.196720,6.372,6.195
1.6204325,-219.163273,6.414,6.206
1.326602,-224.129889,6.361,6.288
0.990096,-229.097042,6.279,6.391
0.6474725,-234.069583,6.196,6.495
0.414142,-239.058918,6.266,6.553
0.411936,-244.076860,6.526,6.557
0.741269,-249.074091,6.826,6.072
1.4471095,-253.843027,6.844,6.051
2.565572,-258.150809,6.814,6.216
4.128036,-261.775935,6.834,6.360
6.081153,-264.700141,6.774,6.547
8.298433,-267.080607,6.727,6.518
10.651749,-269.079965,6.688,6.379
13.0507785,-270.845518,6.649,6.239
15.459613,-272.502504,6.610,6.100
17.8465675,-274.174449,6.570,5.961
20.179957,-275.984878,6.531,5.821
22.428095,-278.057317,6.143,5.999
24.5592975,-280.515293,5.861,6.184
26.5412905,-283.476264,6.072,6.361
28.3316655,-286.953211,6.285,6.608
29.879472,-290.871050,6.849,7.495
31.133491,-295.151940,6.706,7.842
32.042505,-299.718042,6.824,7.268
32.555296,-304.491516,6.927,6.985
32.6206455,-309.394524,6.965,6.886
32.195842,-314.337862,6.917,6.667
31.306113,-319.141581,6.845,6.613
30.0092435,-323.582245,6.647,7.082
28.363238,-327.436468,6.665,7.255
26.430052,-330.564765,6.846,6.937
24.2808405,-333.022953,6.827,6.644
21.9880635,-334.894579,6.448,6.291
19.614902,-336.256747,5.810,6.069
17.1859435,-337.159771,5.238,5.863
14.715743,-337.647000,5.010,5.462
12.218855,-337.761783,4.922,5.014
9.7098355,-337.547469,4.908,4.710
7.2032395,-337.047409,4.910,4.663
4.713599,-336.304943,4.744,4.630
2.250075,-335.361505,4.566,4.599
-0.190453,-334.254167,4.490,4.636
-2.612814,-333.019393,4.423,4.680
-5.0218375,-331.693649,4.394,4.695
-7.4223515,-330.313399,4.423,4.668
-9.819186,-328.915109,4.452,4.642
-12.2171095,-327.534738,4.481,4.615
-14.6184655,-326.187815,4.512,4.570
-17.022393,-324.862877,4.543,4.516
-19.4278115,-323.546613,4.574,4.461
-21.83364,-322.225709,4.606,4.406
-24.2387985,-320.886854,4.637,4.352
-26.642206,-319.516734,4.668,4.297
-29.04272,-318.102273,4.563,4.373
-31.438261,-316.633981,4.399,4.507
-33.826018,-315.105165,4.234,4.641
-36.2031625,-313.509203,4.070,4.774
-38.5668635,-311.839475,4.060,4.777
-40.9142925,-310.089360,4.111,4.729
-43.242619,-308.252239,4.161,4.681
-45.549013,-306.321490,4.247,4.598
-47.830646,-304.290492,4.369,4.480
-50.0846875,-302.152627,4.491,4.361
-52.308308,-299.901272,4.585,4.278
-54.4986775,-297.529807,4.578,4.325
-56.652967,-295.031613,4.571,4.372
-58.7683465,-292.400067,4.564,4.419
-60.8435815,-289.633609,4.387,4.575
-62.883821,-286.750907,4.208,4.733
-64.8958085,-283.775691,4.029,4.891
-66.8862885,-280.731687,3.889,5.025
-68.8620045,-277.642625,4.175,4.900
-70.829701,-274.532233,4.460,4.775
-72.796122,-271.424238,4.746,4.649
-74.767222,-268.339555,5.031,4.524
-76.7431695,-265.278474,5.011,4.529
-78.721557,-262.232102,4.923,4.563
-80.699966,-259.191504,4.836,4.598
-82.675977,-256.147747,4.748,4.632
-84.647171,-253.091898,4.660,4.667
-86.6111295,-250.015021,4.572,4.701
-88.566023,-246.910276,4.484,4.736
-90.5123475,-243.779080,4.449,4.746
-92.4511735,-240.624887,4.453,4.739
-94.3835715,-237.451150,4.458,4.731
-96.3106115,-234.261323,4.462,4.723
-98.233363,-231.058859,4.467,4.715
-100.152897,-227.847212,4.471,4.708
-102.0702835,-224.629836,4.476,4.700
-103.9865925,-221.410183,4.509,4.659
-105.9028945,-218.191707,4.547,4.612
-107.820259,-214.977863,4.584,4.566
-109.739757,-211.772103,4.622,4.519
-111.662458,-208.577880,4.660,4.473
-113.5892335,-205.398164,4.698,4.426
-115.513595,-202.217945,4.736,4.380
-117.419706,-198.999382,4.729,4.371
-119.291126,-195.703159,4.536,4.517
-121.111415,-192.289961,4.343,4.664
-122.864132,-188.720470,4.336,4.638
-124.5328365,-184.955372,4.379,4.565
-126.096026,-180.957671,4.431,4.837
-127.45979,-176.723568,4.601,5.288
-128.476141,-172.274056,4.843,5.390
-128.9957935,-167.630725,4.813,5.086
-128.928863,-162.824532,4.547,4.577
-128.412189,-157.922201,4.347,4.288
-127.636698,-152.998987,4.304,4.276
-126.781419,-148.121181,4.274,4.288
-125.942541,-143.292647,4.245,4.300
-125.181019,-138.490699,4.203,4.340
-124.5576765,-133.692551,4.254,4.360
-124.1333385,-128.875418,4.368,4.327
-123.9688295,-124.016514,4.414,4.181
-124.1249745,-119.093057,4.523,3.910
-124.667597,-114.161490,4.519,4.155
-125.68123,-109.574741,4.412,4.201
-127.1695815,-105.584270,4.340,4.645
-128.828628,-101.821290,4.362,4.646
-130.4558015,-98.010785,4.384,4.647
-132.057222,-94.164117,4.405,4.649
-133.651378,-90.309611,4.427,4.650
-135.2506605,-86.466054,4.449,4.652
-136.854938,-82.632655,4.471,4.653
-138.4625415,-78.806218,4.492,4.655
-140.071802,-74.983546,4.514,4.656
-141.6810505,-71.161441,4.536,4.657
-143.2886175,-67.336708,4.558,4.659
-144.892834,-63.506149,4.579,4.660
-146.4920305,-59.666567,4.601,4.662
-148.084538,-55.814765,4.608,4.648
-149.668688,-51.947548,4.562,4.584
-151.2428105,-48.061717,4.516,4.519
-152.8052365,-44.154077,4.471,4.455
-154.354297,-40.221430,4.425,4.391
-155.888955,-36.261776,4.380,4.326
-157.4164775,-32.288837,4.334,4.262
-158.94998,-28.327410,4.288,4.197
-160.5026995,-24.402521,4.243,4.133
-162.0878745,-20.539197,4.197,4.069
-163.7187425,-16.762465,4.151,4.004
-165.4085405,-13.097353,4.235,4.020
-167.1688505,-9.566820,4.340,4.013
-169.000321,-6.180192,4.461,3.984
-170.8991715,-2.941270,4.372,4.252
-172.8616095,0.146161,4.321,4.395
-174.883842,3.078316,4.445,4.084
-176.9620755,5.851410,4.467,3.954
-179.0925165,8.461659,4.288,4.178
-181.263268,10.933915,4.109,4.402
-183.433604,13.394884,3.933,4.624
-185.5563925,15.993908,4.116,4.410
-187.5855645,18.876739,4.302,4.215
-189.507985,22.077979,4.509,4.185
-191.3489905,25.502381,4.657,4.198
-193.135931,29.047721,4.352,4.539
-194.874246,32.661839,4.062,4.856
-196.525852,36.392019,4.118,4.626
-198.047526,40.297287,4.129,4.437
-199.4006395,44.430676,4.062,4.321
-200.604754,48.769312,4.131,4.229
-201.719376,53.238212,4.703,4.227
-202.8036025,57.762615,4.984,4.352
-203.880593,62.305174,4.588,4.770
-204.932076,66.871673,4.193,5.188
-205.937484,71.470290,4.378,4.975
-206.8762475,76.109204,4.585,4.738
-207.727798,80.796591,4.513,4.556
-208.4715675,85.540628,4.325,4.396
-209.0887095,90.348640,4.214,4.283
-209.581739,95.217349,4.328,4.306
-209.967612,100.136316,4.441,4.330
-210.2635565,105.094963,4.281,4.364
-210.4868015,110.082715,4.122,4.398
-210.654575,115.088995,4.073,4.414
-210.784105,120.103228,4.115,4.414
-210.8909945,125.115969,4.151,4.409
-210.9806285,130.124890,4.111,4.317
-211.0544345,135.130420,4.070,4.226
-211.113832,140.132992,4.030,4.135
-211.16024,145.133041,4.065,4.142
-211.1950765,150.131001,4.101,4.149
-211.2197605,155.127307,4.136,4.156
-211.2357115,160.122392,4.171,4.163
-211.2443475,165.116692,4.207,4.170
-211.247088,170.110639,4.242,4.177
-211.245352,175.104670,4.278,4.184
-211.2405575,180.099217,4.313,4.191
-211.234124,185.094715,4.348,4.198
-211.2274685,190.091597,4.384,4.206
-211.221782,195.090091,4.419,4.213
-211.2178265,200.090039,4.454,4.220
-211.2163135,205.091234,4.490,4.227
-211.217956,210.093475,4.525,4.234
-211.2234655,215.096556,4.560,4.241
-211.233555,220.100273,4.596,4.248
-211.2489365,225.104423,4.631,4.255
-211.270322,230.108801,4.666,4.262
-211.298424,235.113203,4.702,4.270
-211.3339555,240.117426,4.737,4.277
-211.3776275,245.121264,4.773,4.284
-211.4301535,250.124515,4.808,4.291
-211.492245,255.126974,4.833,4.296
-211.5709345,260.125592,4.667,4.255
-211.748765,265.083316,4.495,4.258
-212.157989,269.940712,4.324,4.387
-212.9317215,274.637944,4.259,4.344
-214.160145,279.075326,4.329,4.591
-215.790891,283.020860,4.462,4.449
-217.742044,286.215128,4.522,4.330
-219.9336365,288.442732,4.902,4.228
-222.2974335,289.753451,4.803,4.760
-224.769569,290.295862,4.909,4.968
-227.286102,290.217748,4.940,4.973
-229.775058,289.573627,4.935,4.689
-232.161001,288.279189,4.826,4.410
-234.4926925,286.578680,4.507,4.341
-236.8677845,284.887526,4.074,4.477
-239.288432,283.473722,4.100,4.480
-241.7376425,282.575403,4.419,4.447
-244.198253,282.423370,4.468,4.524
-246.648781,283.062717,4.318,4.540
-249.0631945,284.342875,4.271,4.568
-251.415321,286.104461,4.536,4.537
-253.685706,288.233693,4.653,4.590
-255.8667705,290.697399,4.280,4.847
-257.95215,293.470644,4.297,4.721
-259.935481,296.528498,4.414,4.523
-261.810398,299.846028,4.573,4.347
-263.5705375,303.398301,4.633,4.392
-265.2097315,307.160502,4.660,4.514
-266.7266165,311.110684,4.564,4.659
-268.12479,315.229865,4.241,4.845
-269.408078,319.499194,4.129,4.845
-270.5803065,323.899825,4.285,4.611
-271.6453005,328.412910,4.191,4.670
-272.6068865,333.019600,4.190,4.651
-273.4693215,337.701562,4.292,4.545
-274.2414545,342.445927,4.393,4.440
-274.9349035,347.243129,4.371,4.444
-275.5613275,352.083644,4.349,4.447
-276.132383,356.957949,4.328,4.451
-276.6597275,361.856523,4.306,4.455
-277.1550195,366.769843,4.290,4.458
-277.6285555,371.689517,4.319,4.448
-278.083139,376.613377,4.349,4.438
-278.519004,381.541390,4.378,4.429
-278.9363835,386.473524,4.408,4.419
-279.33551,391.409748,4.424,4.423
-279.7166165,396.350030,4.337,4.537
-280.0799345,401.294338,4.250,4.651
-280.4256975,406.242641,4.163,4.765
-280.754138,411.194906,4.129,4.763
-281.0654885,416.151103,4.144,4.656
-281.359981,421.111199,4.158,4.549
-281.637849,426.075163,4.173,4.442
-281.899324,431.042963,4.188,4.334
-282.1446465,436.014566,4.202,4.227
-282.3746155,440.989816,4.207,4.188
-282.5909825,445.968351,4.212,4.154
-282.795594,450.949787,4.216,4.120
-282.9902945,455.933740,4.221,4.086
-283.1769305,460.919826,4.225,4.053
-283.357347,465.907663,4.229,4.019
-283.533389,470.896866,4.240,4.018
-283.706903,475.887053,4.257,4.046
-283.879734,480.877838,4.273,4.075
-284.0537275,485.868840,4.290,4.103
-284.230729,490.859675,4.306,4.132
-284.412584,495.849958,4.323,4.161
-284.601138,500.839306,4.339,4.189
-284.797979,505.827373,4.356,4.218
-285.002047,510.814190,4.372,4.246
-285.2107295,515.800008,4.389,4.275
-285.421393,520.785084,4.405,4.303
-285.631404,525.769672,4.422,4.332
-285.838129,530.754028,4.438,4.361
-286.038935,535.738408,4.455,4.389
-286.2311885,540.723067,4.472,4.418
-286.412256,545.708259,4.476,4.447
-286.579505,550.694242,4.418,4.480
-286.730301,555.681269,4.360,4.513
-286.862012,560.669596,4.303,4.546
-286.9720035,565.659479,4.245,4.579
-287.0576435,570.651173,4.188,4.612
-287.1172845,575.644818,4.199,4.548
-287.152157,580.640216,4.209,4.485
-287.1640155,585.637107,4.220,4.421
-287.1546135,590.635233,4.247,4.347
-287.1257065,595.634334,4.364,4.216
-287.079048,600.634150,4.482,4.084
