# x_m,y_m,w_tr_right_m,w_tr_left_m
0.123414,-0.369626,5.388,5.699
1.226607,-2.8065075,5.352,5.669
2.327816,-5.2434045,5.314,5.636
3.419084,-7.6811765,5.276,5.603
4.488599,-10.121105,5.238,5.570
5.524512,-12.564475,5.200,5.537
6.514972,-15.012571,5.162,5.504
7.44813,-17.4666785,5.124,5.471
8.312137,-19.9280815,5.147,5.469
9.097019,-22.397725,5.189,5.477
9.80193,-24.874899,5.232,5.485
10.428788,-27.3583905,5.274,5.493
10.979515,-29.846987,5.317,5.501
11.456032,-32.3394765,5.359,5.509
11.860259,-34.8346455,5.378,5.560
12.194119,-37.331283,5.370,5.659
12.459701,-39.8284455,5.362,5.758
12.659553,-42.325909,5.354,5.856
12.796297,-44.823568,5.345,5.955
12.872553,-47.3213165,5.342,6.052
12.890943,-49.8190485,5.492,6.091
12.854087,-52.316658,5.641,6.130
12.764609,-54.81404,5.790,6.170
12.625128,-57.311088,5.940,6.209
12.438266,-59.8076965,6.089,6.248
12.206644,-62.303759,6.230,6.286
11.932885,-64.799171,6.204,6.296
11.619608,-67.2938255,6.177,6.306
11.269436,-69.787617,6.151,6.316
10.88501,-72.280444,6.124,6.326
10.469377,-74.7722825,6.098,6.335
10.025941,-77.2631795,6.071,6.345
9.558123,-79.753184,6.045,6.355
9.069342,-82.242345,6.054,6.349
8.563016,-84.730711,6.086,6.333
8.042564,-87.218332,6.117,6.316
7.511406,-89.705256,6.149,6.300
6.972962,-92.1915325,6.180,6.284
6.430649,-94.6772105,6.211,6.268
5.887887,-97.162339,6.243,6.251
5.348095,-99.646967,6.274,6.235
4.814693,-102.131144,6.306,6.219
4.291099,-104.614918,6.337,6.202
3.775436,-107.09836,6.372,6.195
3.240865,-109.5816365,6.414,6.206
2.653204,-112.0649445,6.361,6.288
1.980192,-114.548521,6.279,6.391
1.294945,-117.0347915,6.196,6.495
0.828284,-119.529459,6.266,6.553
0.823872,-122.03843,6.526,6.557
1.482538,-124.5370455,6.826,6.072
2.894219,-126.9215135,6.844,6.051
5.131144,-129.0754045,6.814,6.216
8.256072,-130.8879675,6.834,6.360
12.162306,-132.3500705,6.774,6.547
16.596866,-133.5403035,6.727,6.518
21.303498,-134.5399825,6.688,6.379
26.101557,-135.422759,6.649,6.239
30.919226,-136.251252,6.610,6.100
35.693135,-137.0872245,6.570,5.961
40.359914,-137.992439,6.531,5.821
44.85619,-139.0286585,6.143,5.999
49.118595,-140.2576465,5.861,6.184
53.082581,-141.738132,6.072,6.361
56.663331,-143.4766055,6.285,6.608
59.758944,-145.435525,6.849,7.495
62.266982,-147.57597,6.706,7.842
64.08501,-149.859021,6.824,7.268
65.110592,-152.245758,6.927,6.985
65.241291,-154.697262,6.965,6.886
64.391684,-157.168931,6.917,6.667
62.612226,-159.5707905,6.845,6.613
60.018487,-161.7911225,6.647,7.082
56.726476,-163.718234,6.665,7.255
52.860104,-165.2823825,6.846,6.937
48.561681,-166.5114765,6.827,6.644
43.976127,-167.4472895,6.448,6.291
39.229804,-168.1283735,5.810,6.069
34.371887,-168.5798855,5.238,5.863
29.431486,-168.8235,5.010,5.462
24.43771,-168.8808915,4.922,5.014
19.419671,-168.7737345,4.908,4.710
14.406479,-168.5237045,4.910,4.663
9.427198,-168.1524715,4.744,4.630
4.50015,-167.6807525,4.566,4.599
-0.380906,-167.1270835,4.490,4.636
-5.225628,-166.5096965,4.423,4.680
-10.043675,-165.8468245,4.394,4.695
-14.844703,-165.1566995,4.423,4.668
-19.638372,-164.4575545,4.452,4.642
-24.434219,-163.767369,4.481,4.615
-29.236931,-163.0939075,4.512,4.570
-34.044786,-162.4314385,4.543,4.516
-38.855623,-161.7733065,4.574,4.461
-43.66728,-161.1128545,4.606,4.406
-48.477597,-160.443427,4.637,4.352
-53.284412,-159.758367,4.668,4.297
-58.08544,-159.0511365,4.563,4.373
-62.876522,-158.3169905,4.399,4.507
-67.652036,-157.5525825,4.234,4.641
-72.406325,-156.7546015,4.070,4.774
-77.133727,-155.9197375,4.060,4.777
-81.828585,-155.04468,4.111,4.729
-86.485238,-154.1261195,4.161,4.681
-91.098026,-153.160745,4.247,4.598
-95.661292,-152.145246,4.369,4.480
-100.169375,-151.0763135,4.491,4.361
-104.616616,-149.950636,4.585,4.278
-108.997355,-148.7649035,4.578,4.325
-113.305934,-147.5158065,4.571,4.372
-117.536693,-146.2000335,4.564,4.419
-121.687163,-144.8168045,4.387,4.575
-125.767642,-143.3754535,4.208,4.733
-129.791617,-141.8878455,4.029,4.891
-133.772577,-140.3658435,3.889,5.025
-137.724009,-138.8213125,4.175,4.900
-141.659402,-137.2661165,4.460,4.775
-145.592244,-135.712119,4.746,4.649
-149.534444,-134.1697775,5.031,4.524
-153.486339,-132.639237,5.011,4.529
-157.443114,-131.116051,4.923,4.563
-161.399932,-129.595752,4.836,4.598
-165.351954,-128.0738735,4.748,4.632
-169.294342,-126.545949,4.660,4.667
-173.222259,-125.0075105,4.572,4.701
-177.132046,-123.455138,4.484,4.736
-181.024695,-121.88954,4.449,4.746
-184.902347,-120.3124435,4.453,4.739
-188.767143,-118.725575,4.458,4.731
-192.621223,-117.1306615,4.462,4.723
-196.466726,-115.5294295,4.467,4.715
-200.305794,-113.923606,4.471,4.708
-204.140567,-112.314918,4.476,4.700
-207.973185,-110.7050915,4.509,4.659
-211.805789,-109.0958535,4.547,4.612
-215.640518,-107.4889315,4.584,4.566
-219.479514,-105.8860515,4.622,4.519
-223.324916,-104.28894,4.660,4.473
-227.178467,-102.699082,4.698,4.426
-231.02719,-101.1089725,4.736,4.380
-234.839412,-99.499691,4.729,4.371
-238.582252,-97.8515795,4.536,4.517
-242.22283,-96.1449805,4.343,4.664
-245.728264,-94.360235,4.336,4.638
-249.065673,-92.477686,4.379,4.565
-252.192052,-90.4788355,4.431,4.837
-254.91958,-88.361784,4.601,5.288
-256.952282,-86.137028,4.843,5.390
-257.991587,-83.8153625,4.813,5.086
-257.857726,-81.412266,4.547,4.577
-256.824378,-78.9611005,4.347,4.288
-255.273396,-76.4994935,4.304,4.276
-253.562838,-74.0605905,4.274,4.288
-251.885082,-71.6463235,4.245,4.300
-250.362038,-69.2453495,4.203,4.340
-249.115353,-66.8462755,4.254,4.360
-248.266677,-64.437709,4.368,4.327
-247.937659,-62.008257,4.414,4.181
-248.249949,-59.5465285,4.523,3.910
-249.335194,-57.080745,4.519,4.155
-251.36246,-54.7873705,4.412,4.201
-254.339163,-52.792135,4.340,4.645
-257.657256,-50.910645,4.362,4.646
-260.911603,-49.0053925,4.384,4.647
-264.114444,-47.0820585,4.405,4.649
-267.302756,-45.1548055,4.427,4.650
-270.501321,-43.233027,4.449,4.652
-273.709876,-41.3163275,4.471,4.653
-276.925083,-39.403109,4.492,4.655
-280.143604,-37.491773,4.514,4.656
-283.362101,-35.5807205,4.536,4.657
-286.577235,-33.668354,4.558,4.659
-289.785668,-31.7530745,4.579,4.660
-292.984061,-29.8332835,4.601,4.662
-296.169076,-27.9073825,4.608,4.648
-299.337376,-25.973774,4.562,4.584
-302.485621,-24.0308585,4.516,4.519
-305.610473,-22.0770385,4.471,4.455
-308.708594,-20.110715,4.425,4.391
