# x_m,y_m
3.362726,-0.416379
4.741674,-5.364454
6.06138,-10.316565
7.31891,-15.272718
8.510474,-20.232943
9.632258,-25.197234
10.68044,-30.165543
11.65118,-35.137783
12.54062,-40.113822
13.345312,-45.093467
14.063924,-50.076401
14.695786,-55.062273
15.240224,-60.050723
15.696558,-65.041381
16.0641,-70.033871
16.342162,-75.027807
16.530082,-80.022795
16.627286,-85.018429
16.633224,-90.014297
16.54748,-95.009979
16.370602,-100.005062
16.105308,-104.99917
15.755294,-109.991975
15.324382,-114.9832
14.816392,-119.972613
14.23514,-124.960027
13.584444,-129.945299
12.86812,-134.928321
12.089974,-139.909027
11.25383,-144.887384
10.363604,-149.863396
9.423284,-154.837106
8.43685,-159.808582
7.408324,-164.777926
6.342078,-169.745283
5.24323,-174.710864
4.117228,-179.674925
2.969564,-184.637746
1.808362,-189.599781
0.663744,-194.562722
-0.378782,-199.531136
-1.20278,-204.50981
-1.726278,-209.498791
-1.90172,-214.493826
-1.682614,-219.488277
-1.016694,-224.472657
0.153982,-229.433553
1.911754,-234.350722
4.357406,-239.193714
7.578714,-243.921588
11.642382,-248.483985
16.580484,-252.824753
22.41207,-256.872628
29.114108,-260.571581
36.490718,-263.943659
44.32741,-267.041253
52.464716,-269.941408
60.76113,-272.727552
69.092368,-275.487791
77.33772,-278.31174
85.369928,-281.28565
93.041598,-284.487234
100.185644,-287.977609
106.608352,-291.799587
112.016786,-295.994617
115.978458,-300.57551
118.009022,-305.454449
117.776214,-310.432572
115.277658,-315.257705
110.853554,-319.728065
104.969054,-323.756587
97.940514,-327.30165
90.011752,-330.339933
81.400156,-332.870192
72.280388,-334.906892
62.794614,-336.472396
53.0606,-337.595124
43.172964,-338.307877
33.205574,-338.645634
23.214902,-338.64422
13.242708,-338.339537
3.317482,-337.767379
-6.543556,-336.963246
-16.332282,-335.962095
-26.048872,-334.798069
-35.699734,-333.504377
-45.294662,-332.111525
-54.843812,-330.642225
-64.352268,-329.107326
-73.819326,-327.509609
-83.243664,-325.850137
-92.624392,-324.129919
-101.960438,-322.349988
