# x_m,y_m
1.681363,-0.832758
2.370837,-10.728908
3.03069,-20.63313
3.659455,-30.545436
4.255237,-40.465886
4.816129,-50.394468
5.34022,-60.331086
5.82559,-70.275566
6.27031,-80.227644
6.672656,-90.186934
7.031962,-100.152802
7.347893,-110.124546
7.620112,-120.101446
7.848279,-130.082762
8.03205,-140.067742
8.171081,-150.055614
8.265041,-160.04559
8.313643,-170.036858
8.316612,-180.028594
8.27374,-190.019958
8.185301,-200.010124
8.052654,-209.99834
7.877647,-219.98395
7.662191,-229.9664
7.408196,-239.945226
7.11757,-249.920054
6.792222,-259.890598
6.43406,-269.856642
6.044987,-279.818054
5.626915,-289.774768
5.181802,-299.726792
4.711642,-309.674212
4.218425,-319.617164
3.704162,-329.555852
3.171039,-339.490566
2.621615,-349.421728
2.058614,-359.34985
1.484782,-369.275492
0.904181,-379.199562
0.331872,-389.125444
-0.189391,-399.062272
-0.60139,-409.01962
-0.863139,-418.997582
-0.95086,-428.987652
-0.841307,-438.976554
-0.508347,-448.945314
0.076991,-458.867106
0.955877,-468.701444
2.178703,-478.387428
3.789357,-487.843176
5.821191,-496.96797
8.290242,-505.649506
11.206035,-513.745256
14.557054,-521.143162
18.245359,-527.887318
22.163705,-534.082506
26.232358,-539.882816
30.380565,-545.455104
34.546184,-550.975582
38.66886,-556.62348
42.684964,-562.5713
46.520799,-568.974468
50.092822,-575.955218
53.304176,-583.599174
56.008393,-591.989234
57.989229,-601.15102
59.004511,-610.908898
58.888107,-620.865144
57.638829,-630.51541
55.426777,-639.45613
52.484527,-647.513174
48.970257,-654.6033
45.005876,-660.679866
40.700078,-665.740384
36.140194,-669.813784
31.397307,-672.944792
26.5303,-675.190248
21.586482,-676.615754
16.602787,-677.291268
11.607451,-677.28844
6.621354,-676.679074
1.658741,-675.534758
-3.271778,-673.926492
-8.166141,-671.92419
-13.024436,-669.596138
-17.849867,-667.008754
-22.647331,-664.22305
-27.421906,-661.28445
-32.176134,-658.214652
-36.909663,-655.019218
-41.621832,-651.700274
-46.312196,-648.259838
-50.980219,-644.699976
-55.625434,-641.02274
-60.247472,-637.230442
-64.846115,-633.326032
-69.421252,-629.312682
-73.972806,-625.193452
-78.50073,-620.97134
-83.005014,-616.649264
-87.485676,-612.230062
-91.942755,-607.716486
-96.376327,-603.111198
-100.78647,-598.41681
-105.173294,-593.635874
-109.536808,-588.770136
-113.876324,-583.819472
-118.19097,-578.782984
-122.481012,-573.662708
-126.747577,-568.464378
-130.991906,-563.193942
-135.215349,-557.856822
-139.419235,-552.458308
-143.60495,-547.003534
-147.773868,-541.497642
-151.926686,-535.94338
-156.062987,-530.339894
-160.181936,-524.68549
-164.282765,-518.978628
-168.364677,-513.217766
-172.42684,-507.401356
-176.468456,-501.52793
-180.489066,-495.597146
-184.488684,-489.609884
-188.467415,-483.567172
-192.42532,-477.470008
-196.362489,-471.319384
-200.27902,-465.116274
-204.175011,-458.861648
-208.050576,-452.556466
-211.905827,-446.201676
-215.740808,-439.797972
-219.553557,-433.341674
-223.331537,-426.805306
-227.047892,-420.128882
-230.676151,-413.259482
-234.189689,-406.154836
-237.557196,-398.773358
-240.744379,-391.078764
-243.713025,-383.042412
-246.420661,-374.647048
-248.821951,-365.888822
-250.865797,-356.77684
-252.493417,-347.330792
-253.625319,-337.606914
-254.187704,-327.696878
-254.254696,-317.707246
-253.972027,-307.728662
-253.460055,-297.789532
-252.830488,-287.875452
-252.191118,-277.962334
-251.649674,-268.0277
-251.313856,-258.0561
-251.288984,-248.070162
-251.655156,-238.115478
-252.482497,-228.265458
-253.817701,-218.643598
-255.599862,-209.31039
-257.718788,-200.261226
-260.103024,-191.483956
-262.714614,-182.96679
-265.518481,-174.69625
-268.480616,-166.649924
-271.571788,-158.8008
-274.759889,-151.109118
-278.003998,-143.51118
-281.282688,-135.972278
-284.590918,-128.48502
-287.926577,-121.04659
-291.288143,-113.654966
-294.674924,-106.309506
-298.086555,-99.01022
-301.522687,-91.75707
-304.983076,-84.55016
-308.467225,-77.389348
-311.975353,-70.2756
-315.509384,-63.213224
-319.071953,-56.208434
-322.6656,-49.267488
-326.292872,-42.396852
-329.956221,-35.603154
-333.658258,-28.893876
-337.400186,-22.2739
-341.178252,-15.73679
-344.983223,-9.262098
-348.806213,-2.829766
-352.638965,3.579512
-356.472997,9.98561
-360.300041,16.408104
-364.106046,22.88048
-367.871467,29.447784
-371.573629,36.156768
-375.190942,43.04747
-378.714017,50.131636
-382.141434,57.401614
-385.470417,64.85179
-388.688055,72.49457
-391.772723,80.353336
-394.695168,88.455786
-397.4287,96.81804
-399.973404,105.415862
-402.344739,114.209506
-404.555817,123.168544
-406.610266,132.275688
-408.508278,141.517768
-410.250325,150.881954
-411.83669,160.356184
-413.267647,169.928906
-414.543075,179.589164
-415.666971,189.324428
-416.648179,199.121266
-417.49651,208.967656
