# x_m,y_m
0.8406815,-0.416379
1.1854185,-5.364454
1.515345,-10.316565
1.8297275,-15.272718
2.1276185,-20.232943
2.4080645,-25.197234
2.67011,-30.165543
2.912795,-35.137783
3.135155,-40.113822
3.336328,-45.093467
3.515981,-50.076401
3.6739465,-55.062273
3.810056,-60.050723
3.9241395,-65.041381
4.016025,-70.033871
4.0855405,-75.027807
4.1325205,-80.022795
4.1568215,-85.018429
4.158306,-90.014297
4.13687,-95.009979
4.0926505,-100.005062
4.026327,-104.999170
3.9388235,-109.991975
3.8310955,-114.983200
3.704098,-119.972613
3.558785,-124.960027
3.396111,-129.945299
3.21703,-134.928321
3.0224935,-139.909027
2.8134575,-144.887384
2.590901,-149.863396
2.355821,-154.837106
2.1092125,-159.808582
1.852081,-164.777926
1.5855195,-169.745283
1.3108075,-174.710864
1.029307,-179.674925
0.742391,-184.637746
0.4520905,-189.599781
0.165936,-194.562722
-0.0946955,-199.531136
-0.300695,-204.509810
-0.4315695,-209.498791
-0.47543,-214.493826
-0.4206535,-219.488277
-0.2541735,-224.472657
0.0384955,-229.433553
0.4779385,-234.350722
1.0893515,-239.193714
1.8946785,-243.921588
2.9105955,-248.483985
4.145121,-252.824753
5.6030175,-256.872628
7.278527,-260.571581
9.1226795,-263.943659
11.0818525,-267.041253
13.116179,-269.941408
15.1902825,-272.727552
17.273092,-275.487791
19.33443,-278.311740
21.342482,-281.285650
23.2603995,-284.487234
25.046411,-287.977609
26.652088,-291.799587
28.0041965,-295.994617
28.9946145,-300.575510
29.5022555,-305.454449
29.4440535,-310.432572
28.8194145,-315.257705
27.7133885,-319.728065
26.2422635,-323.756587
24.4851285,-327.301650
22.502938,-330.339933
20.350039,-332.870192
18.070097,-334.906892
15.6986535,-336.472396
13.26515,-337.595124
10.793241,-338.307877
8.3013935,-338.645634
5.8037255,-338.644220
3.310677,-338.339537
0.8293705,-337.767379
-1.635889,-336.963246
-4.0830705,-335.962095
-6.512218,-334.798069
-8.9249335,-333.504377
-11.3236655,-332.111525
-13.710953,-330.642225
-16.088067,-329.107326
-18.4548315,-327.509609
-20.810916,-325.850137
-23.156098,-324.129919
-25.4901095,-322.349988
-27.812717,-320.511370
-30.123736,-318.615221
-32.4230575,-316.663016
-34.710626,-314.656341
-36.986403,-312.596726
-39.250365,-310.485670
-41.502507,-308.324632
-43.742838,-306.115031
-45.9713775,-303.858243
-48.1881635,-301.555599
-50.393235,-299.208405
-52.586647,-296.817937
-54.768404,-294.385068
-56.938162,-291.909736
-59.095485,-289.391492
-61.240506,-286.831354
-63.3737885,-284.232189
-65.495953,-281.596971
-67.6076745,-278.928411
-69.7096175,-276.229154
-71.802475,-273.501767
-73.886934,-270.748821
-75.963343,-267.971690
-78.0314935,-265.169947
-80.090968,-262.342745
-82.1413825,-259.489314
-84.1823385,-256.608883
-86.21342,-253.700678
-88.234228,-250.763965
-90.244533,-247.798573
-92.244342,-244.804942
-94.2337075,-241.783586
-96.21266,-238.735004
-98.1812445,-235.659692
-100.13951,-232.558137
-102.0875055,-229.430824
-104.025288,-226.278233
-105.9529135,-223.100838
-107.870404,-219.898986
-109.7767785,-216.670837
-111.6657685,-213.402653
-113.523946,-210.064441
-115.3380755,-206.629741
-117.0948445,-203.077418
-118.778598,-199.386679
-120.3721895,-195.539382
-121.8565125,-191.521206
-123.2103305,-187.323524
-124.4109755,-182.944411
-125.4328985,-178.388420
-126.2467085,-173.665396
-126.8126595,-168.803457
-127.093852,-163.848439
-127.127348,-158.853623
-126.9860135,-153.864331
-126.7300275,-148.894766
-126.415244,-143.937726
-126.095559,-138.981167
-125.824837,-134.013850
-125.656928,-129.028050
-125.644492,-124.035081
-125.827578,-119.057739
-126.2412485,-114.132729
-126.9088505,-109.321799
-127.799931,-104.655195
-128.859394,-100.130613
-130.051512,-95.741978
-131.357307,-91.483395
-132.7592405,-87.348125
-134.240308,-83.324962
-135.785894,-79.400400
-137.3799445,-75.554559
-139.001999,-71.755590
-140.641344,-67.986139
-142.295459,-64.242510
-143.9632885,-60.523295
-145.6440715,-56.827483
-147.337462,-53.154753
-149.0432775,-49.505110
-150.7613435,-45.878535
-152.491538,-42.275080
-154.2336125,-38.694674
-155.9876765,-35.137800
-157.754692,-31.606612
-159.5359765,-28.104217
-161.3328,-24.633744
-163.146436,-21.198426
-164.9781105,-17.801577
-166.829129,-14.446938
-168.700093,-11.136950
-170.589126,-7.868395
-172.4916115,-4.631049
-174.4031065,-1.414883
-176.3194825,1.789756
-178.2364985,4.992805
-180.1500205,8.204052
-182.053023,11.440240
-183.9357335,14.723892
-185.7868145,18.078384
-187.595471,21.523735
-189.3570085,25.065818
-191.070717,28.700807
-192.7352085,32.425895
-194.3440275,36.247285
-195.8863615,40.176668
-197.347584,44.227893
-198.71435,48.409020
-199.986702,52.707931
-201.1723695,57.104753
-202.2779085,61.584272
-203.305133,66.137844
-204.254139,70.758884
-205.1251625,75.440977
-205.918345,80.178092
-206.6338235,84.964453
-207.2715375,89.794582
-207.8334855,94.662214
-208.3240895,99.560633
-208.748255,104.483828
-209.1108775,109.426675
-209.416883,114.384833
-209.6711955,119.354665
-209.8786905,124.333193
-210.043241,129.318154
-210.1681285,134.307730
-210.256612,139.300428
-210.311962,144.295043
-210.3374435,149.290633
-210.336318,154.286490
-210.311836,159.282116
-210.2672385,164.277192
-210.205755,169.271558
-210.1306025,174.265180
-210.044989,179.258134
-209.952111,184.250571
-209.855159,189.242700
-209.7572965,194.234761
-209.6616375,199.226993
-209.57128,204.219620
-209.489327,209.212825
-209.418882,214.206729
-209.363056,219.201368
-209.3249655,224.196673
-209.308016,229.192392
-209.318953,234.188033
-209.376073,239.182386
-209.509786,244.170962
-209.7489645,249.143679
-210.1204385,254.083409
-210.650482,258.964411
-211.3712785,263.746323
-212.3187155,268.366886
-213.5241385,272.739388
-215.0074325,276.755057
-216.766155,280.296811
-218.779688,283.239378
-221.0072605,285.478070
-223.3854045,286.992624
-225.8450655,287.855541
-228.3377135,288.181606
-230.8349715,288.074508
-233.3240525,287.653289
-235.806152,287.087528
-238.2889485,286.536627
-240.779391,286.144541
-243.276453,286.061685
-245.766052,286.422515
-248.2250545,287.284100
-250.6307665,288.620301
-252.966506,290.385291
-255.219757,292.538138
-257.38063,295.041970
-259.4421365,297.861297
-261.399525,300.963660
-263.2497255,304.319057
-264.9910755,307.900021
-266.6233205,311.681080
-268.147519,315.638551
-269.5656675,319.750756
-270.8805145,323.998103
-272.095446,328.362925
-273.214304,332.829353
-274.241408,337.383103
-275.181762,342.011247
-276.0409455,346.702138
-276.8248185,351.445505
-277.5394715,356.232442
-278.1911715,361.055225
-278.78635,365.907155
-279.3313425,370.782644
-279.831864,375.677206
-280.293247,380.587058
-280.7211185,385.508970
-281.121437,390.440210
-281.498691,395.378777
-281.8546335,400.323670
-282.190217,405.274257
-282.50634,410.229965
-282.803906,415.190268
-283.0838185,420.154682
-283.346986,425.122757
-283.594316,430.094086
-283.8267185,435.068296
-284.0451595,440.045036
-284.250706,445.023974
-284.444458,450.004806
-284.6275065,454.987257
-284.800873,459.971087
-284.965195,464.956133
-285.120603,469.942328
-285.2671785,474.929604
-285.405137,479.917866
-285.5347215,484.907025
-285.6561755,489.897002
-285.7697415,494.887724
-285.8756705,499.879115
-285.974181,504.871115
-286.0652575,509.863681
-286.148657,514.856780
-286.2241225,519.850382
-286.291404,524.844454
-286.350249,529.838952
-286.400405,534.833829
-286.44162,539.829033
-286.47364,544.824507
-286.4962115,549.820187
-286.509079,554.816004
