# x_m,y_m
1.681363,-0.2081895
2.370837,-2.682227
3.03069,-5.1582825
3.659455,-7.636359
4.255237,-10.1164715
4.816129,-12.598617
5.34022,-15.0827715
5.82559,-17.5688915
6.27031,-20.056911
6.672656,-22.5467335
7.031962,-25.0382005
7.347893,-27.5311365
7.620112,-30.0253615
7.848279,-32.5206905
8.03205,-35.0169355
8.171081,-37.5139035
8.265041,-40.0113975
8.313643,-42.5092145
8.316612,-45.0071485
8.27374,-47.5049895
8.185301,-50.002531
8.052654,-52.499585
7.877647,-54.9959875
7.662191,-57.4916
7.408196,-59.9863065
7.11757,-62.4800135
6.792222,-64.9726495
6.43406,-67.4641605
6.044987,-69.9545135
5.626915,-72.443692
5.181802,-74.931698
4.711642,-77.418553
4.218425,-79.904291
3.704162,-82.388963
3.171039,-84.8726415
2.621615,-87.355432
2.058614,-89.8374625
1.484782,-92.318873
0.904181,-94.7998905
0.331872,-97.281361
-0.189391,-99.765568
-0.60139,-102.254905
-0.863139,-104.7493955
-0.95086,-107.246913
-0.841307,-109.7441385
-0.508347,-112.2363285
0.076991,-114.7167765
0.955877,-117.175361
2.178703,-119.596857
3.789357,-121.960794
5.821191,-124.2419925
8.290242,-126.4123765
11.206035,-128.436314
14.557054,-130.2857905
18.245359,-131.9718295
22.163705,-133.5206265
26.232358,-134.970704
30.380565,-136.363776
34.546184,-137.7438955
38.66886,-139.15587
42.684964,-140.642825
46.520799,-142.243617
50.092822,-143.9888045
53.304176,-145.8997935
56.008393,-147.9973085
57.989229,-150.287755
59.004511,-152.7272245
58.888107,-155.216286
57.638829,-157.6288525
55.426777,-159.8640325
52.484527,-161.8782935
48.970257,-163.650825
45.005876,-165.1699665
40.700078,-166.435096
36.140194,-167.453446
31.397307,-168.236198
26.5303,-168.797562
21.586482,-169.1539385
16.602787,-169.322817
11.607451,-169.32211
6.621354,-169.1697685
1.658741,-168.8836895
-3.271778,-168.481623
-8.166141,-167.9810475
-13.024436,-167.3990345
-17.849867,-166.7521885
-22.647331,-166.0557625
-27.421906,-165.3211125
-32.176134,-164.553663
-36.909663,-163.7548045
-41.621832,-162.9250685
