# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.640246,1.087714,5.739,5.932
0.336524,6.062191,5.735,5.929
1.312278,11.036647,5.731,5.926
2.287098,16.011082,5.727,5.923
3.26107,20.985493,5.723,5.920
4.234276,25.959881,5.719,5.917
5.206798,30.934243,5.715,5.914
6.178724,35.908579,5.711,5.911
7.150134,40.882887,5.707,5.908
8.121114,45.857166,5.703,5.905
9.091748,50.831416,5.700,5.902
10.062116,55.805635,5.696,5.899
11.032306,60.779822,5.692,5.896
12.0024,65.753975,5.688,5.893
12.972482,70.728094,5.684,5.890
13.942636,75.702177,5.680,5.887
14.912944,80.676224,5.676,5.884
15.883492,85.650233,5.672,5.881
16.854364,90.624202,5.668,5.878
17.825642,95.598132,5.664,5.875
18.797408,100.57202,5.660,5.872
19.76975,105.545865,5.656,5.869
20.74275,110.519667,5.652,5.866
21.71649,115.493424,5.648,5.863
22.691058,120.467135,5.644,5.860
23.666532,125.440799,5.640,5.858
24.643,130.414414,5.636,5.855
25.620544,135.387981,5.632,5.852
26.599248,140.361496,5.628,5.849
27.579196,145.33496,5.624,5.846
28.560472,150.308371,5.620,5.843
29.54316,155.281728,5.616,5.840
30.527342,160.255029,5.612,5.837
31.513102,165.228275,5.608,5.834
32.500526,170.201463,5.604,5.831
33.489696,175.174592,5.600,5.828
34.480696,180.147661,5.597,5.825
35.4736,185.12067,5.593,5.822
36.46835,190.093621,5.589,5.819
37.464774,195.066521,5.585,5.816
38.462704,200.039376,5.581,5.813
39.461966,205.012193,5.577,5.810
40.46239,209.984979,5.573,5.807
41.463806,214.95774,5.569,5.804
42.46604,219.930483,5.565,5.801
43.468924,224.903214,5.561,5.798
44.472282,229.875939,5.557,5.795
45.475948,234.848665,5.553,5.792
46.479748,239.821399,5.549,5.789
47.483512,244.794148,5.545,5.786
48.487068,249.766917,5.541,5.783
49.490244,254.739713,5.537,5.780
50.492868,259.712543,5.533,5.777
51.494772,264.685414,5.529,5.774
52.495784,269.658331,5.525,5.771
53.49573,274.631302,5.521,5.768
54.49444,279.604332,5.517,5.765
55.491744,284.577429,5.513,5.762
56.48747,289.550599,5.509,5.759
57.481446,294.523848,5.505,5.756
58.473502,299.497184,5.501,5.753
59.463468,304.470612,5.497,5.750
60.451168,309.444139,5.495,5.746
61.436436,314.417772,5.514,5.726
62.419096,319.391516,5.534,5.706
63.398982,324.36538,5.553,5.686
64.375918,329.339368,5.572,5.666
65.349734,334.313489,5.592,5.646
66.320262,339.287747,5.611,5.626
