# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.320123,2.175428,5.739,5.932
0.168262,12.124382,5.735,5.929
0.656139,22.073294,5.731,5.926
1.143549,32.022164,5.727,5.923
1.630535,41.970986,5.723,5.920
2.117138,51.919762,5.719,5.917
2.603399,61.868486,5.715,5.914
3.089362,71.817158,5.711,5.911
3.575067,81.765774,5.707,5.908
4.060557,91.714332,5.703,5.905
4.545874,101.662832,5.700,5.902
5.031058,111.61127,5.696,5.899
5.516153,121.559644,5.692,5.896
6.0012,131.50795,5.688,5.893
6.486241,141.456188,5.684,5.890
6.971318,151.404354,5.680,5.887
7.456472,161.352448,5.676,5.884
7.941746,171.300466,5.672,5.881
8.427182,181.248404,5.668,5.878
8.912821,191.196264,5.664,5.875
9.398704,201.14404,5.660,5.872
9.884875,211.09173,5.656,5.869
10.371375,221.039334,5.652,5.866
10.858245,230.986848,5.648,5.863
11.345529,240.93427,5.644,5.860
11.833266,250.881598,5.640,5.858
12.3215,260.828828,5.636,5.855
12.810272,270.775962,5.632,5.852
13.299624,280.722992,5.628,5.849
13.789598,290.66992,5.624,5.846
14.280236,300.616742,5.620,5.843
14.77158,310.563456,5.616,5.840
15.263671,320.510058,5.612,5.837
15.756551,330.45655,5.608,5.834
16.250263,340.402926,5.604,5.831
16.744848,350.349184,5.600,5.828
17.240348,360.295322,5.597,5.825
17.7368,370.24134,5.593,5.822
18.234175,380.187242,5.589,5.819
18.732387,390.133042,5.585,5.816
19.231352,400.078752,5.581,5.813
19.730983,410.024386,5.577,5.810
20.231195,419.969958,5.573,5.807
20.731903,429.91548,5.569,5.804
21.23302,439.860966,5.565,5.801
21.734462,449.806428,5.561,5.798
22.236141,459.751878,5.557,5.795
22.737974,469.69733,5.553,5.792
23.239874,479.642798,5.549,5.789
23.741756,489.588296,5.545,5.786
24.243534,499.533834,5.541,5.783
24.745122,509.479426,5.537,5.780
25.246434,519.425086,5.533,5.777
25.747386,529.370828,5.529,5.774
26.247892,539.316662,5.525,5.771
26.747865,549.262604,5.521,5.768
27.24722,559.208664,5.517,5.765
27.745872,569.154858,5.513,5.762
28.243735,579.101198,5.509,5.759
28.740723,589.047696,5.505,5.756
29.236751,598.994368,5.501,5.753
29.731734,608.941224,5.497,5.750
30.225584,618.888278,5.495,5.746
30.718218,628.835544,5.514,5.726
31.209548,638.783032,5.534,5.706
31.699491,648.73076,5.553,5.686
32.187959,658.678736,5.572,5.666
32.674867,668.626978,5.592,5.646
33.160131,678.575494,5.611,5.626
33.643663,688.5243,5.631,5.606
34.125379,698.47341,5.650,5.586
34.605192,708.422834,5.669,5.566
35.083018,718.372588,5.689,5.545
35.558774,728.322684,5.708,5.525
36.032446,738.273122,5.728,5.505
36.504069,748.223898,5.747,5.485
36.973682,758.175008,5.745,5.468
37.441326,768.126446,5.728,5.454
37.907038,778.078204,5.712,5.440
38.370856,788.03028,5.695,5.425
38.832821,797.982666,5.679,5.411
39.292971,807.935358,5.662,5.396
39.751344,817.888348,5.646,5.382
40.207979,827.841634,5.630,5.367
40.662916,837.795206,5.613,5.353
41.116192,847.749064,5.597,5.338
41.567847,857.703198,5.580,5.324
42.01792,867.657604,5.564,5.309
42.466449,877.612276,5.547,5.295
42.913473,887.56721,5.531,5.280
43.359032,897.522398,5.514,5.266
43.803162,907.477836,5.498,5.251
44.245905,917.433518,5.482,5.237
44.687298,927.38944,5.465,5.222
45.127379,937.345594,5.449,5.208
45.566189,947.301976,5.432,5.193
46.003766,957.25858,5.416,5.179
46.440148,967.2154,5.399,5.164
46.875374,977.172432,5.383,5.150
47.309484,987.129668,5.359,5.137
47.742515,997.087106,5.317,5.130
48.174507,1007.044736,5.275,5.122
48.605499,1017.002556,5.233,5.114
49.035529,1026.960558,5.190,5.106
49.464636,1036.91874,5.148,5.098
49.892859,1046.877092,5.106,5.090
50.320236,1056.835612,5.064,5.082
50.746808,1066.794292,5.021,5.075
51.172611,1076.753128,4.979,5.067
51.597686,1086.712114,4.937,5.059
52.02207,1096.671244,4.910,5.058
52.445803,1106.630512,4.896,5.063
52.868924,1116.589916,4.883,5.067
53.291471,1126.549446,4.876,5.055
53.713483,1136.509098,4.868,5.043
54.134999,1146.468866,4.861,5.030
54.556058,1156.428746,4.853,5.018
54.976698,1166.388732,4.845,5.006
55.396959,1176.348818,4.838,4.993
55.816878,1186.308998,4.830,4.981
56.236496,1196.269268,4.823,4.969
56.65585,1206.229622,4.815,4.956
57.07498,1216.190052,4.808,4.944
57.493924,1226.150554,4.800,4.932
57.912721,1236.111124,4.792,4.919
58.33141,1246.071756,4.785,4.907
58.75003,1256.032442,4.777,4.895
59.168619,1265.993178,4.770,4.882
59.587216,1275.95396,4.762,4.870
60.005861,1285.91478,4.755,4.858
60.424591,1295.875634,4.747,4.846
60.843446,1305.836516,4.739,4.833
61.262465,1315.797422,4.732,4.821
61.681686,1325.758342,4.724,4.809
62.101148,1335.719276,4.717,4.796
62.52089,1345.680214,4.709,4.784
62.94095,1355.641152,4.702,4.772
63.361368,1365.602086,4.694,4.759
63.782182,1375.563008,4.686,4.747
64.203432,1385.523914,4.679,4.735
64.625155,1395.484798,4.671,4.722
65.047391,1405.445656,4.664,4.710
65.470178,1415.40648,4.656,4.698
65.893556,1425.367264,4.649,4.685
66.317563,1435.328006,4.641,4.673
66.742237,1445.288696,4.633,4.661
67.167592,1455.24933,4.626,4.648
67.593578,1465.209894,4.618,4.636
68.020133,1475.17037,4.611,4.624
68.447198,1485.130748,4.603,4.611
68.87471,1495.09101,4.596,4.599
69.302611,1505.051142,4.588,4.587
69.730839,1515.01113,4.580,4.574
70.159335,1524.97096,4.573,4.562
70.588036,1534.930618,4.565,4.550
71.016883,1544.890086,4.558,4.538
71.445816,1554.849354,4.550,4.525
71.874773,1564.808404,4.543,4.513
72.303695,1574.767224,4.535,4.501
72.73252,1584.725798,4.527,4.488
73.161188,1594.68411,4.520,4.476
73.589639,1604.642148,4.512,4.464
74.017812,1614.599898,4.505,4.451
74.445646,1624.557342,4.497,4.439
74.873081,1634.514468,4.490,4.427
75.300056,1644.471262,4.482,4.414
75.726512,1654.427708,4.474,4.402
76.152386,1664.383792,4.467,4.390
76.577619,1674.339498,4.459,4.377
77.002151,1684.294814,4.452,4.365
77.42592,1694.249722,4.444,4.353
77.848866,1704.204212,4.437,4.340
78.270929,1714.158266,4.429,4.328
78.692047,1724.111872,4.421,4.316
79.112161,1734.065012,4.414,4.303
79.53121,1744.017674,4.406,4.291
79.949134,1753.969842,4.399,4.279
80.365871,1763.921504,4.391,4.266
80.781362,1773.872644,4.384,4.254
81.195545,1783.823246,4.376,4.242
81.60836,1793.773296,4.368,4.230
82.019747,1803.722782,4.361,4.217
82.429611,1813.68233,4.353,4.205
82.837563,1823.75501,4.346,4.193
83.248443,1834.080646,4.338,4.180
83.954388,1844.225256,4.161,4.319
85.673515,1852.903488,4.026,4.819
88.974744,1858.851074,4.101,4.609
93.551119,1861.348544,4.131,4.098
98.643056,1860.909434,4.615,4.208
103.764977,1858.968158,4.580,4.102
108.763165,1857.25565,4.545,3.995
113.599154,1857.18249,4.495,3.935
118.321793,1859.880488,4.465,4.343
122.73869,1865.781732,4.458,4.457
126.073556,1873.661892,4.392,4.425
127.802866,1882.397444,4.755,4.338
128.208494,1891.683344,4.822,3.908
127.68945,1901.333576,4.735,3.994
126.64474,1911.16213,4.444,4.146
125.44179,1920.998328,4.283,4.296
124.202155,1930.790852,4.296,4.435
122.93212,1940.544334,4.288,4.437
121.63731,1950.263736,4.279,4.440
120.32335,1959.954012,4.271,4.443
118.995865,1969.620124,4.263,4.445
117.66048,1979.267028,4.255,4.448
116.32282,1988.89968,4.247,4.451
114.988509,1998.523042,4.239,4.453
113.663172,2008.14207,4.231,4.456
112.352435,2017.76172,4.223,4.459
111.061923,2027.386952,4.215,4.461
109.797259,2037.022722,4.206,4.464
108.564069,2046.67399,4.198,4.467
107.367978,2056.345714,4.190,4.469
106.21461,2066.04285,4.189,4.476
