# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.1600615,1.087714,5.739,5.932
0.084131,6.062191,5.735,5.929
0.3280695,11.036647,5.731,5.926
0.5717745,16.011082,5.727,5.923
0.8152675,20.985493,5.723,5.920
1.058569,25.959881,5.719,5.917
1.3016995,30.934243,5.715,5.914
1.544681,35.908579,5.711,5.911
1.7875335,40.882887,5.707,5.908
2.0302785,45.857166,5.703,5.905
2.272937,50.831416,5.700,5.902
2.515529,55.805635,5.696,5.899
2.7580765,60.779822,5.692,5.896
3.0006,65.753975,5.688,5.893
3.2431205,70.728094,5.684,5.890
3.485659,75.702177,5.680,5.887
3.728236,80.676224,5.676,5.884
3.970873,85.650233,5.672,5.881
4.213591,90.624202,5.668,5.878
4.4564105,95.598132,5.664,5.875
4.699352,100.572020,5.660,5.872
4.9424375,105.545865,5.656,5.869
5.1856875,110.519667,5.652,5.866
5.4291225,115.493424,5.648,5.863
5.6727645,120.467135,5.644,5.860
5.916633,125.440799,5.640,5.858
6.16075,130.414414,5.636,5.855
6.405136,135.387981,5.632,5.852
6.649812,140.361496,5.628,5.849
6.894799,145.334960,5.624,5.846
7.140118,150.308371,5.620,5.843
7.38579,155.281728,5.616,5.840
7.6318355,160.255029,5.612,5.837
7.8782755,165.228275,5.608,5.834
8.1251315,170.201463,5.604,5.831
8.372424,175.174592,5.600,5.828
8.620174,180.147661,5.597,5.825
8.8684,185.120670,5.593,5.822
9.1170875,190.093621,5.589,5.819
9.3661935,195.066521,5.585,5.816
9.615676,200.039376,5.581,5.813
9.8654915,205.012193,5.577,5.810
10.1155975,209.984979,5.573,5.807
10.3659515,214.957740,5.569,5.804
10.61651,219.930483,5.565,5.801
10.867231,224.903214,5.561,5.798
11.1180705,229.875939,5.557,5.795
11.368987,234.848665,5.553,5.792
11.619937,239.821399,5.549,5.789
11.870878,244.794148,5.545,5.786
12.121767,249.766917,5.541,5.783
12.372561,254.739713,5.537,5.780
12.623217,259.712543,5.533,5.777
12.873693,264.685414,5.529,5.774
13.123946,269.658331,5.525,5.771
13.3739325,274.631302,5.521,5.768
13.62361,279.604332,5.517,5.765
13.872936,284.577429,5.513,5.762
14.1218675,289.550599,5.509,5.759
14.3703615,294.523848,5.505,5.756
14.6183755,299.497184,5.501,5.753
14.865867,304.470612,5.497,5.750
15.112792,309.444139,5.495,5.746
15.359109,314.417772,5.514,5.726
15.604774,319.391516,5.534,5.706
15.8497455,324.365380,5.553,5.686
16.0939795,329.339368,5.572,5.666
16.3374335,334.313489,5.592,5.646
16.5800655,339.287747,5.611,5.626
16.8218315,344.262150,5.631,5.606
17.0626895,349.236705,5.650,5.586
17.302596,354.211417,5.669,5.566
17.541509,359.186294,5.689,5.545
17.779387,364.161342,5.708,5.525
18.016223,369.136561,5.728,5.505
18.2520345,374.111949,5.747,5.485
18.486841,379.087504,5.745,5.468
18.720663,384.063223,5.728,5.454
18.953519,389.039102,5.712,5.440
19.185428,394.015140,5.695,5.425
19.4164105,398.991333,5.679,5.411
19.6464855,403.967679,5.662,5.396
