# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.320123,0.543857,5.739,5.932
0.168262,3.0310955,5.735,5.929
0.656139,5.5183235,5.731,5.926
1.143549,8.005541,5.727,5.923
1.630535,10.4927465,5.723,5.920
2.117138,12.9799405,5.719,5.917
2.603399,15.4671215,5.715,5.914
3.089362,17.9542895,5.711,5.911
3.575067,20.4414435,5.707,5.908
4.060557,22.928583,5.703,5.905
4.545874,25.415708,5.700,5.902
5.031058,27.9028175,5.696,5.899
5.516153,30.389911,5.692,5.896
6.0012,32.8769875,5.688,5.893
6.486241,35.364047,5.684,5.890
6.971318,37.8510885,5.680,5.887
7.456472,40.338112,5.676,5.884
7.941746,42.8251165,5.672,5.881
8.427182,45.312101,5.668,5.878
8.912821,47.799066,5.664,5.875
9.398704,50.28601,5.660,5.872
9.884875,52.7729325,5.656,5.869
10.371375,55.2598335,5.652,5.866
10.858245,57.746712,5.648,5.863
11.345529,60.2335675,5.644,5.860
11.833266,62.7203995,5.640,5.858
12.3215,65.207207,5.636,5.855
12.810272,67.6939905,5.632,5.852
13.299624,70.180748,5.628,5.849
13.789598,72.66748,5.624,5.846
14.280236,75.1541855,5.620,5.843
14.77158,77.640864,5.616,5.840
15.263671,80.1275145,5.612,5.837
15.756551,82.6141375,5.608,5.834
16.250263,85.1007315,5.604,5.831
16.744848,87.587296,5.600,5.828
17.240348,90.0738305,5.597,5.825
17.7368,92.560335,5.593,5.822
18.234175,95.0468105,5.589,5.819
18.732387,97.5332605,5.585,5.816
19.231352,100.019688,5.581,5.813
19.730983,102.5060965,5.577,5.810
20.231195,104.9924895,5.573,5.807
20.731903,107.47887,5.569,5.804
21.23302,109.9652415,5.565,5.801
21.734462,112.451607,5.561,5.798
22.236141,114.9379695,5.557,5.795
22.737974,117.4243325,5.553,5.792
23.239874,119.9106995,5.549,5.789
23.741756,122.397074,5.545,5.786
24.243534,124.8834585,5.541,5.783
24.745122,127.3698565,5.537,5.780
25.246434,129.8562715,5.533,5.777
25.747386,132.342707,5.529,5.774
26.247892,134.8291655,5.525,5.771
26.747865,137.315651,5.521,5.768
27.24722,139.802166,5.517,5.765
27.745872,142.2887145,5.513,5.762
28.243735,144.7752995,5.509,5.759
28.740723,147.261924,5.505,5.756
29.236751,149.748592,5.501,5.753
