# x_m,y_m
-6.406232,1.282051
-5.706168,6.268233
-4.994622,11.254009
-4.271806,16.23938
-3.537934,21.224347
-2.793224,26.208912
-2.037888,31.193077
-1.272138,36.176845
-0.496194,41.160219
0.289734,46.143202
1.08543,51.125797
1.890678,56.108008
2.705268,61.08984
3.528982,66.071297
4.361608,71.052383
5.20293,76.033104
6.052734,81.013465
6.910806,85.993472
7.776934,90.97313
8.6509,95.952446
9.532494,100.931425
10.421498,105.910075
11.317702,110.888403
12.220888,115.866415
13.130844,120.844118
14.047358,125.821521
14.970212,130.798631
15.899196,135.775456
16.834094,140.752004
17.774692,145.728283
18.720776,150.704303
19.672136,155.680071
20.628554,160.655597
21.589818,165.630889
22.555714,170.605957
23.52603,175.58081
24.50055,180.555457
25.47906,185.529909
26.461332,190.504175
27.447124,195.478267
28.436194,200.452196
29.428302,205.425975
30.423204,210.399613
31.42066,215.373124
32.420426,220.346519
33.422264,225.31981
34.42593,230.293008
35.431184,235.266126
36.437782,240.239177
37.445484,245.212171
38.454056,250.185122
39.463314,255.158037
40.473184,260.130922
41.483644,265.103776
42.494636,270.076603
43.50602,275.049411
44.517616,280.022208
45.529254,284.995003
46.540776,289.967803
47.552038,294.940617
48.562892,299.913451
49.573198,304.886314
50.582808,309.859211
51.59158,314.832152
52.599366,319.805142
53.606022,324.778189
54.611406,329.751301
55.61537,334.724484
56.617774,339.697747
57.618472,344.671094
58.617294,349.644537
59.614008,354.618085
60.60835,359.591751
61.600082,364.565548
62.589062,369.539482
63.57527,374.513554
64.558722,379.487762
65.539444,384.462105
66.51746,389.43658
67.492794,394.411188
68.465468,399.385926
69.435508,404.360792
70.402938,409.335785
71.36778,414.310904
72.33006,419.286148
73.2898,424.261513
74.247026,429.237
75.20176,434.212607
76.154026,439.188331
77.10385,444.164173
78.051254,449.14013
78.996262,454.1162
79.9389,459.092383
80.87919,464.068678
81.817156,469.045081
82.752822,474.021593
83.686212,478.998212
84.61735,483.974936
85.54626,488.951765
86.472966,493.928696
87.397492,498.905728
88.319864,503.882861
89.240102,508.860092
90.158232,513.837421
91.074276,518.814845
91.988262,523.792364
92.900212,528.769977
93.810148,533.747681
94.718096,538.725477
95.62408,543.703362
96.528124,548.681335
97.43025,553.659395
98.330484,558.63754
99.22885,563.61577
100.12537,568.594084
101.02007,573.572479
101.912974,578.550954
102.804104,583.529509
103.693486,588.508143
104.581142,593.486853
105.467098,598.465639
106.351378,603.4445
107.234004,608.423433
108.115002,613.402439
108.994394,618.381516
109.872204,623.360663
110.748458,628.339878
111.62318,633.319161
112.49639,638.29851
113.368118,643.277923
114.238382,648.257401
115.107212,653.236942
115.974626,658.216544
116.840652,663.196206
117.705312,668.175928
118.568632,673.155708
119.430634,678.135545
120.291342,683.115439
121.15078,688.095386
122.008974,693.075388
122.865946,698.055442
123.721722,703.035548
124.576322,708.015704
125.429774,712.995909
126.2821,717.976162
127.133326,722.956463
127.983468,727.93681
128.83253,732.917202
129.680514,737.897641
130.527426,742.878125
131.373264,747.858655
132.21803,752.839231
133.06173,757.819852
133.904364,762.800517
134.745932,767.781228
135.58644,772.761984
136.425886,777.742784
137.264278,782.723629
138.101612,787.704518
138.937894,792.685451
139.773124,797.666429
140.607306,802.64745
141.440442,807.628515
142.272532,812.609624
143.103582,817.590777
143.93359,822.571972
144.76256,827.553211
145.590494,832.534493
146.417396,837.515818
147.243266,842.497186
148.068106,847.478596
148.891918,852.460049
149.714706,857.441544
150.53647,862.423082
151.357214,867.404661
152.176938,872.386283
152.995648,877.367946
153.81334,882.34965
154.630024,887.331399
155.448138,892.312968
156.306032,897.292531
157.390176,902.260954
159.057426,907.189409
161.60311,912.022335
165.29138,916.664052
170.414134,920.953146
177.133398,924.63742
185.44843,927.348993
194.877166,928.995419
204.748426,929.834594
214.693418,930.428393
224.507338,931.385014
233.753366,933.222862
241.752616,936.184659
248.024214,940.054955
252.471704,944.518362
255.151794,949.33986
256.307342,954.301974
256.221032,959.297931
255.17295,964.268558
253.400372,969.188207
251.122738,974.054483
