# x_m,y_m
-3.203116,2.564102
-2.853084,12.536466
-2.497311,22.508018
-2.135903,32.47876
-1.768967,42.448694
-1.396612,52.417824
-1.018944,62.386154
-0.636069,72.35369
-0.248097,82.320438
0.144867,92.286404
0.542715,102.251594
0.945339,112.216016
1.352634,122.17968
1.764491,132.142594
2.180804,142.104766
2.601465,152.066208
3.026367,162.02693
3.455403,171.986944
3.888467,181.94626
4.32545,191.904892
4.766247,201.86285
5.210749,211.82015
5.658851,221.776806
6.110444,231.73283
6.565422,241.688236
7.023679,251.643042
7.485106,261.597262
7.949598,271.550912
8.417047,281.504008
8.887346,291.456566
9.360388,301.408606
9.836068,311.360142
10.314277,321.311194
10.794909,331.261778
11.277857,341.211914
11.763015,351.16162
12.250275,361.110914
12.73953,371.059818
13.230666,381.00835
13.723562,390.956534
14.218097,400.904392
14.714151,410.85195
15.211602,420.799226
15.71033,430.746248
16.210213,440.693038
16.711132,450.63962
17.212965,460.586016
17.715592,470.532252
18.218891,480.478354
18.722742,490.424342
19.227028,500.370244
19.731657,510.316074
20.236592,520.261844
20.741822,530.207552
21.247318,540.153206
21.75301,550.098822
22.258808,560.044416
22.764627,569.990006
23.270388,579.935606
23.776019,589.881234
24.281446,599.826902
24.786599,609.772628
25.291404,619.718422
25.79579,629.664304
26.299683,639.610284
26.803011,649.556378
27.305703,659.502602
27.807685,669.448968
28.308887,679.395494
28.809236,689.342188
29.308647,699.289074
29.807004,709.23617
30.304175,719.183502
30.800041,729.131096
31.294531,739.078964
31.787635,749.027108
32.279361,758.975524
32.769722,768.92421
33.25873,778.87316
33.746397,788.822376
34.232734,798.771852
34.717754,808.721584
35.201469,818.67157
35.68389,828.621808
36.16503,838.572296
36.6449,848.523026
37.123513,858.474
37.60088,868.425214
38.077013,878.376662
38.551925,888.328346
39.025627,898.28026
39.498131,908.2324
39.96945,918.184766
40.439595,928.137356
40.908578,938.090162
41.376411,948.043186
41.843106,957.996424
42.308675,967.949872
42.77313,977.90353
43.236483,987.857392
43.698746,997.811456
44.159932,1007.765722
44.620051,1017.720184
45.079116,1027.674842
45.537138,1037.62969
45.994131,1047.584728
46.450106,1057.539954
46.905074,1067.495362
47.359048,1077.450954
47.81204,1087.406724
48.264062,1097.36267
48.715125,1107.31879
49.165242,1117.27508
49.614425,1127.23154
50.062685,1137.188168
50.510035,1147.144958
50.956487,1157.101908
51.402052,1167.059018
51.846743,1177.016286
52.290571,1186.973706
52.733549,1196.931278
53.175689,1206.889
53.617002,1216.846866
54.057501,1226.804878
54.497197,1236.763032
