# x_m,y_m
-1.601558,1.282051
-1.426542,6.268233
-1.2486555,11.254009
-1.0679515,16.239380
-0.8844835,21.224347
-0.698306,26.208912
-0.509472,31.193077
-0.3180345,36.176845
-0.1240485,41.160219
0.0724335,46.143202
0.2713575,51.125797
0.4726695,56.108008
0.676317,61.089840
0.8822455,66.071297
1.090402,71.052383
1.3007325,76.033104
1.5131835,81.013465
1.7277015,85.993472
1.9442335,90.973130
2.162725,95.952446
2.3831235,100.931425
2.6053745,105.910075
2.8294255,110.888403
3.055222,115.866415
3.282711,120.844118
3.5118395,125.821521
3.742553,130.798631
3.974799,135.775456
4.2085235,140.752004
4.443673,145.728283
4.680194,150.704303
4.918034,155.680071
5.1571385,160.655597
5.3974545,165.630889
5.6389285,170.605957
5.8815075,175.580810
6.1251375,180.555457
6.369765,185.529909
6.615333,190.504175
6.861781,195.478267
7.1090485,200.452196
7.3570755,205.425975
7.605801,210.399613
7.855165,215.373124
8.1051065,220.346519
8.355566,225.319810
8.6064825,230.293008
8.857796,235.266126
9.1094455,240.239177
9.361371,245.212171
9.613514,250.185122
9.8658285,255.158037
10.118296,260.130922
10.370911,265.103776
10.623659,270.076603
10.876505,275.049411
11.129404,280.022208
11.3823135,284.995003
11.635194,289.967803
11.8880095,294.940617
12.140723,299.913451
12.3932995,304.886314
12.645702,309.859211
12.897895,314.832152
13.1498415,319.805142
13.4015055,324.778189
13.6528515,329.751301
13.9038425,334.724484
14.1544435,339.697747
14.404618,344.671094
14.6543235,349.644537
14.903502,354.618085
15.1520875,359.591751
15.4000205,364.565548
15.6472655,369.539482
15.8938175,374.513554
16.1396805,379.487762
16.384861,384.462105
16.629365,389.436580
16.8731985,394.411188
17.116367,399.385926
17.358877,404.360792
17.6007345,409.335785
17.841945,414.310904
18.082515,419.286148
18.32245,424.261513
18.5617565,429.237000
18.80044,434.212607
19.0385065,439.188331
19.2759625,444.164173
19.5128135,449.140130
19.7490655,454.116200
19.984725,459.092383
20.2197975,464.068678
20.454289,469.045081
20.6882055,474.021593
20.921553,478.998212
21.1543375,483.974936
21.386565,488.951765
21.6182415,493.928696
21.849373,498.905728
22.079966,503.882861
22.3100255,508.860092
22.539558,513.837421
22.768569,518.814845
22.9970655,523.792364
23.225053,528.769977
23.452537,533.747681
23.679524,538.725477
23.90602,543.703362
24.132031,548.681335
24.3575625,553.659395
24.582621,558.637540
24.8072125,563.615770
25.0313425,568.594084
25.2550175,573.572479
25.4782435,578.550954
25.701026,583.529509
25.9233715,588.508143
26.1452855,593.486853
26.3667745,598.465639
26.5878445,603.444500
26.808501,608.423433
27.0287505,613.402439
27.2485985,618.381516
27.468051,623.360663
27.6871145,628.339878
27.905795,633.319161
28.1240975,638.298510
28.3420295,643.277923
28.5595955,648.257401
28.776803,653.236942
28.9936565,658.216544
29.210163,663.196206
29.426328,668.175928
29.642158,673.155708
29.8576585,678.135545
30.0728355,683.115439
30.287695,688.095386
30.5022435,693.075388
30.7164865,698.055442
30.9304305,703.035548
31.1440805,708.015704
31.3574435,712.995909
31.570525,717.976162
31.7833315,722.956463
31.995867,727.936810
32.2081325,732.917202
32.4201285,737.897641
32.6318565,742.878125
32.843316,747.858655
33.0545075,752.839231
33.2654325,757.819852
33.476091,762.800517
33.686483,767.781228
33.89661,772.761984
34.1064715,777.742784
34.3160695,782.723629
34.525403,787.704518
34.7344735,792.685451
34.943281,797.666429
35.1518265,802.647450
35.3601105,807.628515
35.568133,812.609624
